{'短评内容': '非常好的服务态度，非常快速的解决想要的问题。', '短评打分': 5}
{'短评内容': '一直出差长沙都是选择钦天', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '早歺还不错，品种很多，房间很宽敞，床很大。虏间内的设施也很不错，也很干净。酒店的位置不错，出行和购物都很方便。', '短评打分': 5}
{'短评内容': '非常棒。早餐一般。储物收纳位置很足。卫生间很干净，酒店服务非常好，停车免费，离医院超市都很近非常方便。住了一周多，下次来还会再住。', '短评打分': 5}
{'短评内容': '交通便利，干净卫生。', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '一如既往，来长沙选择这家酒店', '短评打分': 5}
{'短评内容': '服务员态度好，房间大，非常满意', '短评打分': 5}
{'短评内容': '房间不错，早餐丰富', '短评打分': 5}
{'短评内容': '每次来长沙都这个酒店', '短评打分': 5}
{'短评内容': '不错，一直都用这个，下次还住！', '短评打分': 5}
{'短评内容': '挺好的。还会住的。', '短评打分': 4}
{'短评内容': '挺好的，还会再住', '短评打分': 5}
{'短评内容': '还不错的酒店，住了两次了！床比较舒服！', '短评打分': 5}
{'短评内容': '酒店位置不错，硬件设施差些，早餐尚可，总体满意', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '还住', '短评打分': 4}
{'短评内容': '下回还住', '短评打分': 4}
{'短评内容': '很不错，安静明亮干净就是堵车，总体还不错', '短评打分': 5}
{'短评内容': '酒店不大，布置合理，也很精致，好评！', '短评打分': 4}
{'短评内容': '酒店不大，布置合理，也很精致，好评！', '短评打分': 5}
{'短评内容': '新开的酒店，目前据说是试营业，装修、设施都还是不错的。但是服务还需要再跟上，进房间的时候发现杯子有一个都没洗干净！早餐特别差。', '短评打分': 1}
{'短评内容': '酒店很新，干净整洁，很舒心，性价比不错。', '短评打分': 3}
