{'短评内容': '很好的酒店，推荐', '短评打分': 5}
{'短评内容': '预定了亲子房间，也备注了12点到，到了酒店才知道下午15点才有空房，本来打算休息下再出门，只能临时调整行程。酒店服务还行，有送酸奶饼干，点心，小朋友还有玩具。觉得需要改善的是房间床单的卫生，床单上面还有不少头发，让人觉得床单没有换，上位房客留下的。另外早餐吃的人太多，碗都没有了，我让服务员倒一杯咖啡，服务员让我自己去倒。对比以前住过的五星酒店，觉得需要改善地方还很多。', '短评打分': 5}
{'短评内容': '酒店服务非常好，唐经理主动送入房间，准备了欢迎茶和水果，点个赞', '短评打分': 5}
{'短评内容': '出差住的 唐经理很贴心 准备了水果', '短评打分': 5}
{'短评内容': '王鹤很好de ', '短评打分': 5}
{'短评内容': '酒店服务很好 唐经理非常好 点赞', '短评打分': 5}
{'短评内容': '酒店服务很好 唐经理非常好', '短评打分': 5}
{'短评内容': '小王很赞', '短评打分': 5}
{'短评内容': '徐丹特别贴心', '短评打分': 5}
{'短评内容': '小唐服务很好', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐', '短评打分': 5}
{'短评内容': '每次住房就会去这家，干净，舒适，服务态度好，空间也大。必须之地！', '短评打分': 5}
{'短评内容': '整体都还不错。', '短评打分': 5}
{'短评内容': '酒店环境比较好，', '短评打分': 5}
{'短评内容': '酒店位于富春江旁边，景色很好！', '短评打分': 5}
{'短评内容': '酒店环境好，服务好', '短评打分': 5}
{'短评内容': '酒店服务很温馨，小孩送了儿童洗漱套餐，一入住就送来了报纸，晚上还送了酸奶、富阳特产做点心。', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '性价比很高，服务水平高。今后来富阳会继续选择', '短评打分': 5}
{'短评内容': '江景，非常美，服务很优质！下次还会入住。', '短评打分': 5}
{'短评内容': '这是我们此行住的性价比最高的一家酒店。进门就有免费的热饮，在冬季让人身心舒畅。服务很好，还给升级了行政楼层自助早餐，品种多，质量高。客房干净舒适', '短评打分': 5}
{'短评内容': '酒店服务特别好！！', '短评打分': 5}
{'短评内容': '好，希望降点价，房间不够透气，窗户不够好。', '短评打分': 5}
{'短评内容': '第二次入住了，这次空调温度有点高，房间里不是很凉快。其他的都很好', '短评打分': 5}
{'短评内容': '客房，游泳池，早餐都挺好的。客服人员也都很有礼貌。但是淋浴房里面的沐浴露盒子已经掉了，就剩下一个裸露的支架，还比较尖锐，存在一定的安全隐患，希望能修好或者直接拆除。在2306房间。', '短评打分': 5}
{'短评内容': '不错滴宾馆，孩子家人都认为不错！', '短评打分': 3}
{'短评内容': '很好的酒店，在江边，交通也方便，面积够了，床不错，还会选择的', '短评打分': 5}
{'短评内容': '虽然硬件设施没有办法和上海的正规五星级相比较。但是性价比及较高，特别是其108元的自助餐，不收服务费且海鲜三文鱼可以吃到饱。所以很多当地人也在里面吃。', '短评打分': 5}
{'短评内容': '热水超舒服，服务很贴心…', '短评打分': 3}
{'短评内容': '不错，门口的风景不错！就是房间比较旧！早饭两份有点浪费！', '短评打分': 5}
{'短评内容': '电视机的确有点跟不上，风景不错！对年轻人来说，房间装修欠个性！', '短评打分': 3}
{'短评内容': '酒店整体还不错,靠江边散散步很舒服.唯一有点遗憾的是冲淋房的莲蓬头是固定的,这样给小孩子洗澡有点不方便.', '短评打分': 5}
{'短评内容': '好酒店！有山有水、有农家菜。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净、江景、山水、农家菜。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的是小城市的五星级宾馆，窗外富春江的风景尚可，酒店设施离五星应该说还有距离，希望能在装修还有酒店设施上进一步提高。', '短评打分': 1}
{'短评内容': '江景的行政商务房，设施比较满意，景观很好，早餐也不错。要说意见的话，浴室少个手持莲蓬头给孩子洗澡比较有挑战。大床房需要分两床小被子的话不知道能不能满足（两条大被子在两米的床上有点挤的）。酒店少了wifi覆盖，现在使用无线设施的人多了，不是所有人都喜欢带本出行的', '短评打分': 5}
{'短评内容': '富阳两家5星酒店之一，这家比较好，有全江景，就是自助餐马马虎虎。。。。。。。。。。枕头要向假日酒店学习，有的挑选就好了。', '短评打分': 5}
{'短评内容': '酒店总得来说还不错 在去的路上和富阳朋友都说这家是富阳最好的酒店  但是总感觉少点什么  比如前台服务人员的微笑少了很多    从来没有见过哪家五星级酒店是这样子的 呵呵', '短评打分': 5}
{'短评内容': '这次住的房间没有淋浴间，只有浴缸那种，感觉不方便', '短评打分': 5}
{'短评内容': '在富阳应该是比较好的了，整体很不错，不过就第一天入住才送水果和饮料，续住的话确没有，没有道理', '短评打分': 5}
{'短评内容': '上海市2年内城市综合体将集中上市。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮朋友订的，富阳最好的一家酒店了，江景房风景不错', '短评打分': 5}
{'短评内容': '富阳临江5星酒店，干净，枕头还好。。。。。。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '富阳临江5星酒店，干净，枕头还好。。。。。。', '短评打分': 5}
{'短评内容': '富阳第一棒，江景房间，真正五星标准。。。。。。', '短评打分': 5}
{'短评内容': '帮朋友订的，说江景不错。感觉还是十分不错的', '短评打分': 5}
{'短评内容': '房间大、景观好、门外江边可以散步......', '短评打分': 5}
{'短评内容': '酒店环境幽雅，服务周到。可惜内部设施还在整修，室外游泳池够不上五星标准。', '短评打分': 5}
{'短评内容': '富阳两家5星之一，江景好，街景差。。。。。。', '短评打分': 5}
{'短评内容': '房间干净，隔音好，床大，舒服', '短评打分': 3}
{'短评内容': '环境很优雅，就是停车比较麻烦，客房服务也非常好！下次还是会入住！', '短评打分': 3}
{'短评内容': '富阳最好的酒店，全江景，房间大，早餐一般。。。', '短评打分': 5}
{'短评内容': '500多的五星确实不贵，而且硬件和早餐也不错，直接面对富春江景，街道也很干净。住在小地方就是舒服啊。', '短评打分': 5}
{'短评内容': '一切还好，就是早餐一般，临江房间景观好。', '短评打分': 5}
{'短评内容': '该酒店总体感觉一般，餐饮没有特色，娱乐实施不多。环境不错临江依傍，遗憾的是马路上的噪音不断...？', '短评打分': 5}
{'短评内容': '出公差或旅游经常会去住的，感觉一直不错，在富阳应该也算是最好的一家了，喜欢江景房望出去一江春水的感觉，不过得要在天气好的时候', '短评打分': 5}
{'短评内容': '性价比高，服务也不错，早餐也比较丰富性价比高，服务也不错，早餐也比较丰富', '短评打分': 5}
{'短评内容': '非常美丽的酒店，但是房间内的电视机太差了，和五星级的酒店太格格不入了。', '短评打分': 5}
{'短评内容': '多次入住了,整体感觉不错,但同类房间有不同规格,美中不足。', '短评打分': 3}
{'短评内容': '很不错，风景好，交通也方便。如果下次再到富阳的话，肯定还会住这里', '短评打分': 5}
{'短评内容': '酒店硬件设施很好，服务态度也不错；送的水果很新鲜，茶叶质量也不错。入住那天天气有些炎热，可能是讲究节能的关系吧，房间内的温度很长时间调不下来。离富春江很近，晚上沿江散步很凉爽，风景也不错。', '短评打分': 5}
{'短评内容': '酒店不错，可以的，以后我还会去，送的水果也不错，很人性化。', '短评打分': 5}
{'短评内容': '房间很大，感觉很好，下次来富阳还是住在这里！！', '短评打分': 5}
{'短评内容': 'good service.good hotel.', '短评打分': 5}
{'短评内容': '服务员态度很好，环境很幽静，很不错的酒店！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '是富阳当地最好的酒店了，卫生不错，服务也挺好，值得推荐。', '短评打分': 5}
{'短评内容': '房间很宽敞，员工素质也高，不错！\n下次过来会再住这里。', '短评打分': 5}
{'短评内容': '还是一如既往的让人满意，早餐品种丰富，不应该错过', '短评打分': 5}
{'短评内容': '江景房和市景房有不同的特色，江景房视野开阔，离江面很近的感觉，市景房则很温馨，晚上望出去，有万家灯火的感觉', '短评打分': 5}
{'短评内容': '基本上到富阳就一定选这家了，感觉很好，房间很温馨，服务也很周到热情', '短评打分': 5}
{'短评内容': '不错的酒店，位置靠江，景色不错，只是向服务员问路太差，从上海开车过去，害我们走错了路。', '短评打分': 5}
{'短评内容': '设施豪华，风景不错，前面就是富春江。以后还考虑入住。', '短评打分': 5}
{'短评内容': '是当地景观最好的宾馆，大厅设计别致，市景房其实景观也不错。前台结帐有点慢', '短评打分': 5}
{'短评内容': '不错的，位置很好，服务员也很亲切。江景房确实景观很好，只是江边水气挺大', '短评打分': 5}
{'短评内容': '酒店住置不错，景观很好。店员的服务热情、到位，是当地住店的首选。', '短评打分': 5}
{'短评内容': '不错的选择，床睡的很舒服！', '短评打分': 3}
{'短评内容': '硬件一般，服务跟五星标准还是有差距的，尤其是门童！', '短评打分': 1}
{'短评内容': '酒店环境不错，江景房的视野很好，可惜电视不是液晶的。', '短评打分': 5}
{'短评内容': '+酒店不错，房间挺大的，就是游泳池是室外的', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '电视太旧了', '短评打分': 5}
{'短评内容': '都还不错，屋顶泳池也很漂亮。只是早餐看着品种很多，但好吃的东西不多。', '短评打分': 5}
{'短评内容': '已经是第二次入住，江景漂亮，阳光充足，适合度假休闲，周末早餐丰富。就是卫生间的冲淋房水不大，有待改进。还会入住。\r\n', '短评打分': 5}
{'短评内容': '酒店装修很漂亮，豪华，气派。\r\n早餐品种也很多。\r\n总体来说很喜欢，以后还会去。', '短评打分': 5}
