{'descr': '酒店有些陈旧了，不是很正规了。', 'star': 3}
{'descr': '定的套房，实惠的价格，干净卫生，房间比较大，', 'star': 5}
{'descr': '勉强可以', 'star': 4}
{'descr': '很好，性价比高', 'star': 5}
{'descr': '不错干净服务挺好有机会路过再订', 'star': 5}
{'descr': '还好吧。挺方便的', 'star': 4}
{'descr': '房间一般，服务也一般。价格便宜。不知道4.5分怎么评出的。', 'star': 4}
{'descr': '环境还不错，价格也还可以。', 'star': 5}
{'descr': '   还不错吧 附近都有卖吃的 就是离地铁站有点远 房间卫生很好。阿姨打扫的很认真 在那里住了五天了 空间有点小这是唯一不足的地方 总体来说还不错吧', 'star': 5}
{'descr': '据说还可以，以后还是会考虑帮朋友订。', 'star': 4}
{'descr': '在上海算是性价比最高的酒店了。', 'star': 5}
{'descr': '环境卫生，交通便利，服务热情。', 'star': 5}
{'descr': '服务热情，卫生干净，交通便利。', 'star': 5}
{'descr': '环境不错，干净卫生。交通便利。', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '不能刷卡，不能提供正规发票，  房间还可以', 'star': 1}
{'descr': '很干净 很整洁 整体环境不错 地段也可以 离南汇乐购很近 ', 'star': 5}
