{'短评内容': '隔音效果非常差，隔壁房间说话声打呼声都能听见。房间很小，巴掌大的地方，房间里面很闷，气味难闻，让人喘不过气。差评！！！', '短评打分': 2}
{'短评内容': '酒店卫生很好，设施都齐全，有洗澡和干穿的两种拖鞋，还有浴帽，空间很大，隔音也不错，好评，以后还会来住。', '短评打分': 5}
{'短评内容': '环境还可以，就是熏香太浓了', '短评打分': 4}
{'短评内容': '环境还可以，价格也很优惠', '短评打分': 5}
{'短评内容': '很好 适合旅游出差情侣', '短评打分': 5}
{'短评内容': '行行行行行行行行行行行行行行行行行行行行行行行行行行', '短评打分': 5}
{'短评内容': '洗澡几乎没有热水，没有矿泉水，离开地铁很近。网速太慢了。没有矿泉水，房间隔音效果太差，5楼不知道是什么机构，半夜3点还在喧哗。', '短评打分': 4}
{'短评内容': '服务态度良好，酒店干净！就是房间有点小！', '短评打分': 4}
{'短评内容': '酒店房间太小，不过挺干净的！', '短评打分': 5}
{'短评内容': '多次入住，性价比还可以，厕所有异味，厕纸质量很差，也不提供矿泉水，如果可以重视客人提出的意见，做一些小的提升，会更好！', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '房间有点小，卫生不太好，毛巾有碎屑', '短评打分': 3}
{'短评内容': '酒店离莫愁湖地铁站很近，周边吃的很多，服务态度非常好，整体感觉不错。', '短评打分': 5}
{'短评内容': '酒店装饰很好，就是隔音不怎么样', '短评打分': 3}
{'短评内容': '设施不新  但是前台服务态度挺好', '短评打分': 3}
{'短评内容': '对于这个价格很不错了，所处位置靠近地铁，去哪里也方便', '短评打分': 5}
{'短评内容': '不错,就是房间有点小', '短评打分': 3}
{'短评内容': '隔音不好，卫生不好。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '应该说很便宜 是那种居民楼改造的 达不到宾馆酒店的标准 网速倒是很快', '短评打分': 5}
{'短评内容': '坐地铁2号线下车2号出口一直走，不远，门面不大。房间178元商务电脑房，设施比较齐全，就是房间小点，电话免费打，总体还是不错的', '短评打分': 5}
{'短评内容': '很便宜，然后条件还可以，就是隔音差了点！', '短评打分': 5}
{'短评内容': '帮同学订的 他们说还好吧。。。 以后可以考虑', '短评打分': 5}
