{'短评内容': '饱览珠江夜景，房间舒适，干净，早餐好吃。', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，用优惠券特别合适', '短评打分': 5}
{'短评内容': '位置不错，早餐不错，网速太慢，房间不大，不太值。', '短评打分': 4}
{'短评内容': '好一一一一一一一', '短评打分': 5}
{'短评内容': '早餐很丰富，交通方便，旅游、出差都很合适', '短评打分': 5}
{'短评内容': '交通很方便，江边景色靓！', '短评打分': 5}
{'短评内容': '服务质量一流，无论大堂，夕厅管理人只，包括客服有求必应，热情周达。门卫也很捧，处理事情能力强。但也有不足之处，床上发现一根头发，虽然换了床单，但也应该引起重视(可能是换床单时掉在上面的)。总的来说该酒店服务热情，周到，给人可亲的感觉。', '短评打分': 5}
{'短评内容': '一直使用，商品质量不错。', '短评打分': 5}
{'短评内容': '一直使用，商品质量不错。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店大堂不大，房间很不错，值得再次入住', '短评打分': 5}
{'短评内容': '还不错，就在江边，酒店设施也算比较新，附近的江湾大酒店没开了，这里算是比较好的酒店，推荐', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚红红火火恍恍惚惚哈哈哈', '短评打分': 5}
{'短评内容': '房屋设施齐全，设计别具一格，感觉舒适安全，空气好，夜景漂亮。', '短评打分': 5}
{'短评内容': '整体来说性价比还是挺高的，我帮别人订的，朋友说蛮好的', '短评打分': 5}
{'短评内容': '很好的酒店，就连认床的太太都睡得很香，望江风景一流', '短评打分': 5}
{'短评内容': '帮别人定的，房间听说还挺大的，办理入住也很方便', '短评打分': 4}
{'短评内容': '总体不错，但床太硬了', '短评打分': 4}
{'短评内容': '大堂一般，房间不错，景观舒服', '短评打分': 5}
{'短评内容': '环境很好、交通方便', '短评打分': 4}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店就在江边上，房间里的床躺起来非常舒服，房间的窗帘是电动的，小朋友很喜欢。只是浴缸放水阀坏了，服务员和维修部师傅都来了，也没能修好或者更换。另外窗户开关坏了，不能关严，正好赶上晚上下大雨，夜里有些凉。其他都还好。下来来穗，还会考虑入住，不过不会再住这个房间了。', '短评打分': 5}
{'短评内容': '房间高大上，但是有点掉灰现象。装修有点老，感觉不错，风景一流。服务可能有点滞后。', '短评打分': 5}
