{'短评内容': '服务不错，态度很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 2}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '周围环境很好，出差旅游住的舒服，交通方便紧邻市政广场。周边有起市，小吃店，还有夜宵，步行十几分钟有大起市沃尔玛，大润发，还有绿茵广场。', '短评打分': 4}
{'短评内容': '有贵又不好，还是要住连锁店', '短评打分': 1}
{'短评内容': '住了一个月啦，很好，很便宜', '短评打分': 5}
{'短评内容': '方便，便宜，快捷', '短评打分': 5}
{'短评内容': '京东订酒店很便宜', '短评打分': 5}
{'短评内容': '第一次在京东订，很便宜，经常住这家酒店', '短评打分': 5}
{'短评内容': '可以、可以、可以、可以…', '短评打分': 3}
{'短评内容': '不错，以后还住', '短评打分': 5}
{'短评内容': '隔音效果不好，其他的都还不错', '短评打分': 5}
{'短评内容': '基本还可以，门市价有点贵', '短评打分': 4}
{'短评内容': '靠近市政府，很方便！', '短评打分': 5}
