{'descr': '差差', 'star': 1}
{'descr': '前台服务员太差了，卫生差、', 'star': 1}
{'descr': '还可以，在上海性价比高些', 'star': 5}
{'descr': '非常可以棒棒', 'star': 5}
{'descr': '干净，整洁。就是电视频道太少。', 'star': 4}
{'descr': '都已经支付成功了，居然调整房价，被无端取消退款，毫无诚信可言！一分都不想给！', 'star': 1}
{'descr': '房间干净卫生，交通方便价格实惠，就是隔音差，不过在上海这价位能住到这样的酒店已经很好了，赞一个', 'star': 5}
{'descr': '房间较小，不隔音，门缝还塞小卡片。', 'star': 3}
{'descr': '酒店有点不规矩，定错日期和携程以及酒店沟通后，第二天早上酒店私自打电话告知不能改，并且提高了价格，导致我安排出现问题。下午携程给我通知说可以往前调整一天并且已经成功。酒店这样为了我多订他一天，我没有订，房间定不出去后，又同意修改，这样私自联系客人的违规操作令人很生气。限时抢的房间信息是错误的，床是1.35的，房间是10平米的，卫生状况等还可以，给差评是因为做法令人很不满', 'star': 1}
{'descr': '去的很晚，但前台小姑娘服务态度很好，笑容很灿烂！房间也很干净！提前预约的话，价格也不贵，总体来说挺不错的！', 'star': 5}
{'descr': '空调声音太响了', 'star': 4}
{'descr': '还是可以的', 'star': 5}
{'descr': '交通方便，餐饮丰富，内部环境很好。', 'star': 5}
{'descr': '还算干净，就是洗漱用品不行。', 'star': 3}
{'descr': '设施比较简陋，也还不错', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '门面看上去还可以，所以才预定的。网上说距离地铁站900米，可是我们走了4条街。感觉不好找。还有就是，房间其实是在3楼的。刚进去的时候感觉有一股臭味。还有啊，水管坏了，别人来修的时候就是直接冲进来的。太恼火了，还说是前台告诉他们房间没人的。那时候我们已经入住2个小时了呀！房间里还一直有不知道是蚊子还是苍蝇的一只在飞来飞去。 好的一点就是还算干净。', 'star': 1}
{'descr': '虽然设施旧了点，但周边交通方便，吃的也还行，总体还行吧。', 'star': 5}
{'descr': '非常不错的酒店，很干净，去哪里都方便，服务热情。', 'star': 5}
{'descr': '住处挺安静，卫生不怎么样，没电脑，没有沐浴液，只有香皂。', 'star': 3}
{'descr': '很干净蛮不错的。', 'star': 3}
{'descr': '酒店很差房间的设施特别简单就和小旅馆似的，大堂空间也很小就放一个小柜台很简单，卫生间设施卫生也很差。床也很小。服务员也很少，价格也根本和设施方面配不上。建议不要再去合作这种酒店了真的很差。', 'star': 1}
