{'短评内容': '不错，位置佳，离高铁东站近，出行也很方便', '短评打分': 5}
{'短评内容': '垃圾', '短评打分': 5}
{'短评内容': '哈哈哈哈哈', '短评打分': 3}
{'短评内容': '哈哈哈哈', '短评打分': 3}
{'短评内容': '外表不错，里面的设施有点老旧，热水要放好久才能热，房间面积狭小，双人房里面两个人走路都不能很方便，需要侧着身子走之类。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '态度不好态度不好', '短评打分': 5}
{'短评内容': '酒店设施陈旧，墙体有很大霉印，不过交通位置非常好', '短评打分': 5}
{'短评内容': '还是在京东订 便宜很多', '短评打分': 5}
{'短评内容': '酒店的房间干净整齐，价格与装修相符！出差旅游值得居住！', '短评打分': 5}
{'短评内容': '是一家不错的酒店，', '短评打分': 4}
{'短评内容': '是个很好的酒店，环境保护的非常棒，酒店设施还行，早餐很好，服务态度很好，周边购物很方便，交通很方便，', '短评打分': 4}
{'短评内容': '房间内有墙纸脱落，交通还算方便，经常没发票，不推荐', '短评打分': 4}
{'短评内容': '感觉还行吧', '短评打分': 5}
{'短评内容': '房间比较宽敞，但因为当地湿度较大，房内通风不太好，墙壁有些旧。但前台服务态度很好。酒店位置比较好，感觉还不错。', '短评打分': 5}
{'短评内容': '环境一般，性价比挺好的', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '不是那么好，贵', '短评打分': 2}
{'短评内容': '酒店环境不错，设施也比较新，感谢帮我免费升级成商务房！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '在海南省高院旁 边，到高院办事住这里特别方便。环境还可以，这个价格也就是这样的服务了。', '短评打分': 5}
{'短评内容': '不能洗澡，很痛苦。设备一般，与价格不符。', '短评打分': 1}
{'短评内容': '房间不错  就是没地方停车  车停在酒店门口的路边(振兴路)   早上不到8点退房出来一看   车上贴着一张交警的罚单', '短评打分': 3}
{'短评内容': '酒店位置方便   前台服务好  就是停车不方便   车位太少   没地方停车   要把车停在路边  不安全', '短评打分': 3}
{'短评内容': '似乎达不到四星标准，也许价格的原因吧。', '短评打分': 3}
{'短评内容': '房间还不错,挺大挺干净,很舒服。就是卫生间小了点，特别是毛巾太旧了，不应该是四星级酒店的用品档次啊。希望酒店方能关注这个问题，别因为小小的成本支出降低了酒店的形象。其他都很不错！下次还会住的，出行方便。', '短评打分': 5}
{'短评内容': '大厅随然不大但房间很干净，价格也经济，交通也很方便里火车站也很进，去机场打的50元左右这样就可以，酒店的早餐也还可以', '短评打分': 5}
{'短评内容': '条件不错，网上是30元消费券，怎么变成了20元？整体比较卫生，洗手间小了点。上厕所不太方便。地理位置还行，离机场很近。', '短评打分': 5}
{'短评内容': '离火车站非常近，没有早餐就比较欠缺，房间还是比较小的。\n空调不凉。', '短评打分': 5}
{'短评内容': '房间较小，不含早餐实话实说价格性价比不高!', '短评打分': 5}
{'短评内容': '酒店的设施一般,早餐是要到楼下喝早茶的,没有自助早餐,一般般', '短评打分': 1}
{'短评内容': '看在离海口东站很近的份上订了一批双床房,用于员工集体活动住宿,不成想入住时被告知无法满足双床房,只有大床房,交涉了半天虽然解决了几间,但还有几间没解决,员工不得不两个人挤在一个大床上,着对同事来说从没遇到过,由此可见着家酒店是那么的不专业和不负责任', '短评打分': 1}
{'短评内容': '离海口东火车站很近，步行可达，宾馆比较舒服，但房间会小，早上的早茶还可以，电视机该更换了，总之，还算不错。', '短评打分': 5}
{'短评内容': '洒店卫生可以，楼下喝茶也方便，房间面积偏小。服务也不错。', '短评打分': 5}
{'短评内容': '帮我们老大定的，环境好不好我不知道，但是服务态度很好这个我认同的，打电话到前台问从机场怎么过来之类的都很耐心。', '短评打分': 5}
{'短评内容': '这是第二次住这家宾馆，离东铁站很近，客房非常干净', '短评打分': 3}
{'短评内容': '值得一住，离东铁很近，非常方便', '短评打分': 3}
{'短评内容': '卫生不错 但房间有点小', '短评打分': 3}
{'短评内容': '对得起这价格，性价比不错，', '短评打分': 3}
{'短评内容': '很不错，环境很好，交通便利，餐厅饭菜可口，价格还能接受', '短评打分': 5}
{'短评内容': '地理位置较好，靠近海口东高铁站走5分钟到，服务态度较好，相关配套齐全（餐饮方面）', '短评打分': 5}
{'短评内容': '实在是很一般的酒店，又说单人房是两米的大床，看起来最多只有1.5米，房间很小。下次再也不敢入住了。', '短评打分': 3}
{'短评内容': '很好、很干净', '短评打分': 3}
{'短评内容': '还行吧。', '短评打分': 3}
{'短评内容': '酒店还是蛮不错的，性价比很高，但和四星标准应该还是有差距的，标准三星吧', '短评打分': 5}
{'短评内容': ' 不错的酒店', '短评打分': 5}
{'短评内容': '客服不好，价位高，性价比不好，希望大家别住，不像网上图片的那样。', '短评打分': 1}
{'短评内容': '现价比很高', '短评打分': 3}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务很好, 环境也好, 也干净, 性价比高, 但车的声音大了点, 靠马路的房间可能需要再加层玻璃.', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '酒店是新酒店，所以卫生很干净房也新，价格合适！下次还住这个酒店', '短评打分': 5}
{'短评内容': '海口这家酒店我是第一次入住，感觉非常满意！酒店非常干净又舒适！早餐很好吃，下次来海口还住这家酒店。', '短评打分': 5}
{'短评内容': '酒店规模不大，设施、服务都还不错。', '短评打分': 5}
{'短评内容': '喜欢酒店的早茶', '短评打分': 3}
{'短评内容': '离办事的地方挺近的，早茶品种很丰富', '短评打分': 5}
{'短评内容': '酒店的早茶不错，值得入住', '短评打分': 5}
{'短评内容': '酒店房間太少', '短评打分': 5}
{'短评内容': '交通很不方便，但晚间噪音大。附属设施很少，与四星不符。房间倒是很干净清爽。上网免费！在海口免费上网的酒店不多。', '短评打分': 1}
