{'短评内容': '停车场很大。周边环境也很好。每次来海门都住在这里。住楼层高的视野非常的开阔.对面就是吕四小海鲜。', '短评打分': 5}
{'短评内容': '还不错吧，性价比比较高吧', '短评打分': 5}
{'短评内容': '还行吧 每次都住那', '短评打分': 5}
{'短评内容': '很不错哦的', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还不错 还不错 还不错', '短评打分': 5}
{'短评内容': '还不错 还不错 还不错', '短评打分': 5}
{'短评内容': '很好的酒店，下次还来住', '短评打分': 5}
{'短评内容': '房间大，设施也全！', '短评打分': 4}
{'短评内容': '还可以，就是有点成旧', '短评打分': 4}
{'短评内容': '老酒店房间挺大的其他一般般', '短评打分': 5}
{'短评内容': '房间很大很宽敞，周边方便', '短评打分': 5}
{'短评内容': '酒店不错，环境也可以，服务也好', '短评打分': 5}
{'短评内容': '性价比较好', '短评打分': 4}
{'短评内容': '酒店还可以，就是早餐有点差', '短评打分': 5}
{'短评内容': '方便，干净，舒适，服务态度好，非常好', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 4}
{'短评内容': '蛮好', '短评打分': 4}
{'短评内容': '干净、整洁  ', '短评打分': 5}
{'短评内容': '环境好，设施新，周边美食比较多', '短评打分': 5}
