{'短评内容': '设施很旧了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不得不说，第一次遇到这么渣的酒店，味道大不说，没热水不说，就想问问怎么还能开得下去？床又特别硬。真的，也是第一次看到，这是打了酒店招牌的小旅社吧？可能有些小旅社都比这好。真的是恶心吧啦。订了两晚的，不能退钱，勉强住了一晚，弄得一天心情都不好，吓得我第二天钱都不要了立马换酒店。总之，肮脏，恐怖。', '短评打分': 1}
{'短评内容': '这个价格就这样吧', '短评打分': 3}
{'短评内容': '不咋滴，', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '老久三星', '短评打分': 3}
{'短评内容': '房间气味好大好大', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '不便宜，老旧，牙具洗浴用品都要钱，没有免费的，死贵！坑，我决定脸不洗牙不刷了', '短评打分': 3}
{'短评内容': '挺好。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店周边设施一般，服务态度挺好！赞一个～', '短评打分': 3}
{'短评内容': '设施比较落后，今天空调也没有', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住宿条件还可以，早餐有待提升，电梯里貌似没有检修单位，坐的优点慌兮兮的……', '短评打分': 5}
{'短评内容': '我觉得该酒店新到时新的，就是软件太差了，说是有有线网络，但是是没有信号的，连接不上，洗手间的的花洒的水就像小朋友小解一样的慢水又小，简直是无语，床简直是木板的硬...反正本人是很失望。', '短评打分': 1}
