{'短评内容': '还好，就是屋子小了点儿。服务，热水都行比较干净。', '短评打分': 5}
{'短评内容': '就是屋子比较小，服务还行。', '短评打分': 5}
{'短评内容': '酒店位置方便，步行到湖滨5分钟。周围吃的玩的很多，各种档次满足不同需求。房间感觉也挺好，如果在东线玩是不错的选择。', '短评打分': 5}
{'短评内容': '杭州景美，服务不错', '短评打分': 5}
{'短评内容': '挺好的，房间小而精致！', '短评打分': 5}
{'短评内容': '还行房间装饰老了', '短评打分': 3}
{'短评内容': '老了一一点', '短评打分': 3}
{'短评内容': '地址位置很好 酒店房间有点小 但总的来说性价比还是可以的 下次来杭州还会选择 因为离西湖和湖滨都很近', '短评打分': 5}
{'短评内容': '地理位置不错  离西湖很近  出行相当方便  房间也不错  东西设施都比较新  花洒特别好  水很大很舒服', '短评打分': 5}
{'短评内容': '房间很好 离西湖边也很近 周边还有商业区很方便', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '&quot;\n酒店真的不错。环境很好，客房设施齐全，干净卫生。酒店服务快速响应&quot;', '短评打分': 5}
{'短评内容': '&quot;\n酒店真的不错。环境很好，客房设施齐全，干净卫生。酒店服务快速响应&quot;', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '还可以啊', '短评打分': 5}
{'短评内容': '还可以啊', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '不错，离西湖很近，周边吃饭的也很多，就是几个有名的像绿茶，外婆家都需要早去，房间偏小，不过还算干净', '短评打分': 5}
{'短评内容': '酒店很不错，朋友满意', '短评打分': 4}
{'短评内容': '确认快，你的评论有敏感词。', '短评打分': 5}
{'短评内容': '还不错吧&hellip;早餐挺好的', '短评打分': 5}
{'短评内容': '设施陈旧。房间空气不清新', '短评打分': 3}
{'短评内容': '离西湖就5分钟的路程，超级近。周围有知味观，必胜客，在商业街上，位置一级棒！设施三星半吧，但是已经不错啦！', '短评打分': 5}
{'短评内容': '房间内还是很干净的～就是小了一点！床也小了点～', '短评打分': 5}
{'短评内容': '还可以，还不错，还可以，还可以，还不错', '短评打分': 5}
{'短评内容': '房价还行就是房间比较小！杭州景色好美！交通方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '干净挺干净的，房间太小了', '短评打分': 4}
{'短评内容': '不错，两天入住在此，环境位置都很好。杭州两日在君庭住的非常舒服。惬意。慢悠悠的度假生活。晚上会有晚入住的有一点点吵。早餐很好！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好。。。。。', '短评打分': 5}
{'短评内容': '还算可以！', '短评打分': 4}
{'短评内容': '酒店整体位置很不错，去西湖以及吃杭州的有名菜馆外婆家及奎元馆都很近。很方便。酒店设施感觉还好，但细节卫生方面还要稍稍再注意一些。整体好评！', '短评打分': 5}
{'短评内容': '环境非常好，离西湖非常近，下次去杭州还会选择这里！', '短评打分': 5}
{'短评内容': '出门向右马路对面有个面馆，其他好吃的没发现，但是向左往湖边的方向走有个大的购物中心，里面购物餐饮一应具全，好多餐厅门口排长队', '短评打分': 5}
{'短评内容': '不错。去西湖也不远。房间挺舒服的', '短评打分': 5}
{'短评内容': '很好哦。环境卫生灯光都很好', '短评打分': 5}
{'短评内容': '房间没有不大，没有所说的25平米，窗户外空调很吵，比期望值差了些。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一如既往的好，反正去杭州基本住这里', '短评打分': 5}
{'短评内容': '还不错，航空公司好像也是入住这边', '短评打分': 5}
{'短评内容': '位置不错，离西湖很近， 酒店的档次相比，价格只能说勉强物有所值吧，不算很优惠', '短评打分': 4}
{'短评内容': '房间大，离西湖也近，很好~唯一不足的地方就是酒店的停车场太小了~', '短评打分': 5}
{'短评内容': '这家宾馆地理位置非常好，临近商城，靠近西湖，周围也有很多饭馆，非常方便游客出行。', '短评打分': 5}
{'短评内容': '还可以，跟网上看的差不多', '短评打分': 3}
{'短评内容': '出差长期住此酒店，周围各种生活设施齐全，中洋快餐、水果、便利店、药店都有……长期出差人士大爱', '短评打分': 5}
{'短评内容': '出差长期住此酒店，周围各种生活设施齐全，中洋快餐、水果、便利店、药店都有……长期出差人士大爱', '短评打分': 5}
{'短评内容': '酒店非常温馨舒适，所在区域算是闹市，但是他做到了闹中取静，非常的不错，配套设施也很不错。wifi速度非常好', '短评打分': 5}
{'短评内容': '离火车站不远，很方便，房间也比较干净，推荐', '短评打分': 5}
{'短评内容': '酒店不错，可惜早餐太贵', '短评打分': 3}
{'短评内容': '住过五次服务质量好房间小一点出入闹市空气质量一般早餐丰盛', '短评打分': 3}
{'短评内容': '位置很好，房间很干净,离西湖很近，推荐入驻哦', '短评打分': 5}
{'短评内容': '不错，床单干净环境也不错，离西湖非常近，步行不超过十分钟！', '短评打分': 5}
{'短评内容': '出差长期住此酒店，周围各种生活设施齐全，中洋快餐、水果、便利店、药店都有……长期出差人士大爱', '短评打分': 5}
{'短评内容': '适合简单的旅游住宿需求，地理位置非常好，但是房间设施有点老化！', '短评打分': 5}
{'短评内容': '酒店地理位置理想，离西湖很近，周边配套也比较方便，有问题能及时周到解决。有一点小意见：酒店设施应该定期更新，至少起了毛边的毛巾不应该再给客户使用了，否则给人的感觉就近似小旅店了。', '短评打分': 5}
{'短评内容': '位置不错，很安静，房间送的茶叶也不错，推荐', '短评打分': 3}
{'短评内容': '7.28-7.29入住的，酒店的地理位置不错，只是酒店的送餐时间结束的太早了，下午5点就不送了，希望能在这方面改进。', '短评打分': 5}
{'短评内容': '酒店还行，只是房间大灯不亮，网络时快时慢；空间大小不是400块左右的酒店应有的，对空间有要求的就不要选了；不值400多这价，可能是离湖边不远的都挺贵的，旁边好几个酒店都满了，没办法只有订这里。', '短评打分': 5}
{'短评内容': '酒店挺好！被子很舒服！干净挺好！下次去杭州还想住这家酒店！', '短评打分': 5}
{'短评内容': '西湖就在5分钟步行路程外, 附近还是热闹商业区', '短评打分': 5}
{'短评内容': '感觉不错，预定了从黄山回杭州的住宿，仍然安排在这了', '短评打分': 3}
{'短评内容': '位置真的很方便，离西湖很近，周围各种生活设施齐全，便利店、水果店、快餐店一应俱全', '短评打分': 5}
{'短评内容': '还不错。市中心。去哪儿都比较方便，而且斜对面就是奎元馆，旁边吃的购物什么的都近...这次一帮人一起，订了九间房，有些还不错，有些就待加强吧', '短评打分': 5}
{'短评内容': ' 总台很高效 到的时候预定还没做但是一查短信马上给我安排房间！客房服务员也很有礼貌都会主动打招呼！就是多要替换毛巾等了很久上次', '短评打分': 3}
{'短评内容': '第二次入住，酒店离西湖风景区很近，周边吃饭的地方也很多', '短评打分': 5}
{'短评内容': '说实在很一般，不值得四星，而且我们房间门口还给人放了很多特殊服务的卡片。比较讨厌！', '短评打分': 1}
{'短评内容': '不值这个价格，酒店太老，三星的水平', '短评打分': 3}
{'短评内容': '酒店不错，不过房间里的窗户玻璃打不开 有点闷的感觉', '短评打分': 5}
{'短评内容': '位置很好，非常便利。不足：大堂小，房间小。', '短评打分': 5}
{'短评内容': '地理位置和整体环境都很好，第一次网上预定，又快又好。', '短评打分': 3}
{'短评内容': '酒店内环境还不错，就是大堂太小了，距离西湖很近，周边非常繁华！整体不错！', '短评打分': 5}
{'短评内容': ' 总体还不错 但房间有味 十分呛鼻', '短评打分': 3}
{'短评内容': '这酒店不错。', '短评打分': 3}
{'短评内容': ' 宾馆位置交通方便，房间设施好，很满意！', '短评打分': 3}
{'短评内容': ' 和我在上海住的hotel比起来性价比低不少，但是在当地还是很不错的', '短评打分': 3}
{'短评内容': '地理位置不错...\n酒店比较干净...\n不错...', '短评打分': 5}
