{'descr': '还不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '卫生还不错', 'star': 5}
{'descr': '么么哒么么', 'star': 5}
{'descr': 'Fast check in and check out, nice clean basic room. friendly staff. Outside are a few resturants ， although non are in contention to win any michelling stars anytime soon! Theres also a large supperma', 'star': 4}
{'descr': '也就这样了，价格实惠', 'star': 4}
{'descr': '给好友定的房，八点以后到也给保留了，为服务赞一下房间不错，干净整洁，出差首选，住过好几次了', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '上一次去上海出差的时候订了这个宾馆。挺好的，宾馆比较干净。这边的小吃店也比较多。非常的方便，就离客户那里比较近！', 'star': 5}
{'descr': '很好的体验。位置很好。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很好，很干净', 'star': 5}
{'descr': '房间挺大的，也很干净', 'star': 5}
{'descr': '房间很干净。住的舒服，下次还会继续选择住。', 'star': 5}
{'descr': '挺好的，一直都是选择如家', 'star': 5}
{'descr': '挺方便的，干净卫生', 'star': 3}
{'descr': '酒店房间很整洁，绿色的房间色调也很舒服，有宽带接口和数字电视，周边交通方便。', 'star': 5}
{'descr': '很方便，挺干净的地方，下次还来住', 'star': 3}
{'descr': '酒店装修现代，地理位置优越，出行方便，服务人员热情', 'star': 5}
{'descr': '经常来   挺好的   这次的床超大，能睡4个人的那种', 'star': 5}
{'descr': '位置不是很热闹，设施还算新。但是没有早餐，不大方便。', 'star': 5}
{'descr': '去了几次还是很干净的，相比较其他酒店还是不错的', 'star': 5}
{'descr': '这次在网上提前好几天订购的，就属这次房间好，还大', 'star': 5}
{'descr': '价格合适，比较新，周边餐饮比较方便，比较靠近高速！', 'star': 5}
{'descr': '环境还不错，蛮干净卫生的，房间也很大，总体评价还不错！', 'star': 3}
{'descr': '大床房是2个床拼凑的，不舒服，房间内窗，空气不好，尤其刚进门的时候一股味道，开了空调以后稍微好点', 'star': 1}
{'descr': '大床房是2个床拼凑的，不舒服，房间内窗，空气不好，尤其刚进门的时候一股味道，开了空调以后稍微好点', 'star': 1}
{'descr': '最重要的是干净，价格适中，热水很方便，交通也很便利，吃的也很方便', 'star': 5}
{'descr': '房间不怎么通风，都是内窗，有点味道，其他还好', 'star': 5}
{'descr': '床超级大，最喜欢了，也蛮干净温馨的！价钱也便宜', 'star': 3}
{'descr': '因为离家近，方便照顾朋友，所以订了这家酒店。房间还蛮大的，只是没有衣柜，行李多的人可能不太方便。我们一共4个房间。2个房间的厕所磨砂玻璃。。完全。。半透明状。。不知道是不是特价房的原因。进房会有一股味道，但是空调开段时间就好了。服务人员态度什么的都还好，会及时提醒你要去哪里哪里通知打扫之类的。周边小吃，超市什么的也比较近，肚子饿了可以找到地方补充能量。总的说，朋友们还都满意这个酒店。短程客可以考虑', 'star': 5}
{'descr': '住过两晚，挺好的。价格不贵，房间设施齐全，卫生干净，隔音效果也还可以', 'star': 5}
{'descr': '新的装修，还不错。住客素质差，说话声音太大，房间隔音不太好。', 'star': 5}
{'descr': '停车还算方便，农工商超市较近，赎买生活用品方便。', 'star': 5}
{'descr': '酒店服务周到，合理请求能予满足。但卫生间的有异味，希望能改进。', 'star': 5}
{'descr': '酒店是新的比较好，硬件设施都很好，只是服务人员一般。', 'star': 5}
{'descr': '还不错 隔音差了点 交通还可以………………', 'star': 5}
{'descr': '新酒店， 干净， 周边部吵闹！   空调效果很好', 'star': 5}
{'descr': '还不错，洗手间的确有点小。位置有一点偏，到莘庄打的起步价。其他都还好。', 'star': 5}
{'descr': '房间为内窗，不够通风~卫生间较小~距地铁站较远，不是很方便。', 'star': 1}
{'descr': '环境不错，服务也挺好的，...........', 'star': 5}
{'descr': '装修太差，没有台灯也没有床灯，也没有早餐，有失莫泰的基本水准，和农居房差不多', 'star': 1}
{'descr': '原来侧门在大门的旁边，实在是乌龙，房间蛮大的，后来发现这个超级大床房是由标间转变的，不过很适合滚床单，房间整体还是很不错的。', 'star': 5}
{'descr': '总起来还不错，没有什么问题，房间挺大！浴室有点小，不太方便！', 'star': 5}
{'descr': '酒店刚开的！里面的设施比较新，空调特别强！', 'star': 5}
{'descr': '没话说了。绝对OK的、、、就是隔音好像不太好', 'star': 5}
{'descr': '很干净、穿蛮大的,电视机也比较好。下次还要来', 'star': 5}
{'descr': '一如既往的好，值得选择', 'star': 3}
{'descr': '没话说，就是订的房间靠走到，有点吵', 'star': 3}
{'descr': '新的装修，蛮漂亮的。推荐一下，房间的布置也算温馨。', 'star': 5}
{'descr': '房间不错，也很赶紧，就是交通不太便捷', 'star': 3}
