{'短评内容': '设备一般 有点久 地段不错 总得还行', '短评打分': 5}
{'短评内容': '洗澡的淋头漏了，还有就是没有电梯，不建议年龄大了的人去，其他还好', '短评打分': 4}
{'短评内容': '挺干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '垃圾，破烂不堪', '短评打分': 1}
{'短评内容': '卫生很好，环境一般。', '短评打分': 4}
{'短评内容': '很小心情很压抑', '短评打分': 2}
{'短评内容': '很干净，位置不错', '短评打分': 5}
{'短评内容': '环境挺好的，住的非常舒服', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错！挺好的！值得一去！服务很好！', '短评打分': 5}
{'短评内容': '挺干净。也挺温馨。就是我住那个旁边好像有工地。有点噪音。不过总体来说挺好', '短评打分': 5}
{'短评内容': '非常干净，位置好，经济实惠', '短评打分': 3}
{'短评内容': '很好！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
