{'短评内容': '很有感觉的地方', '短评打分': 5}
{'短评内容': '总体上还是非常满意的，床睡起来也很舒服，晚上睡觉很安静，周边交通也非常方便，个人认为比较适合商务出行。', '短评打分': 5}
{'短评内容': '环境很好，离酒吧近', '短评打分': 5}
{'短评内容': '蛮好蛮好蛮好', '短评打分': 5}
{'短评内容': '早餐很简单，餐厅也不大，灯光昏暗，我搞不清楚之前看点评说早餐很丰盛很好的评论，我不知道他们是在哪个餐厅吃的早点，不是睁眼说瞎话骗人吗，对得起这个300多房间吗？', '短评打分': 5}
{'短评内容': '老外滩美术馆边，离酒吧街很近。', '短评打分': 5}
{'短评内容': '不错的，出去逛逛都很方便，老外滩也很近', '短评打分': 5}
{'短评内容': '给美国来的朋友订的，他说很满意，干净，地段好，出去就是外滩大桥三江口，地铁站就在边上，价也合适。总之，挺不错的哦。我在网上订了，他直接入住，很长咱宁波人面子。', '短评打分': 5}
{'短评内容': '环境好，干净。交通便利。闹中取静。周围老外滩，看看古典建筑，逛逛酒吧街。三江围绕，多桥交汇。周围夜景不错。总体好。', '短评打分': 5}
{'短评内容': '还扣以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店环境还不错，早餐太差了，没什么吃的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境佳、服务好', '短评打分': 5}
{'短评内容': '环境很好，价格实惠。出去就是宁波代表的景点老外滩。酒吧，餐厅什么都有。但也不会很吵，酒店安静的。早餐内容不怎么样但总体来说值得赞。下次还会利用。', '短评打分': 5}
{'短评内容': '环境很好，价格实惠。出去就是宁波代表的景点老外滩。酒吧，餐厅什么都有。但也不会很吵，酒店安静的。早餐内容不怎么样但总体来说值得赞。下次还会利用。', '短评打分': 5}
