{'descr': '还不错，方便。', 'star': 4}
{'descr': '隔音不太好', 'star': 3}
{'descr': '', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '整体环境与卫生还行', 'star': 4}
{'descr': '习惯性好评，给我十个字拿金豆', 'star': 5}
{'descr': '得吃啊监控默默。我下**推广', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '环境一般', 'star': 5}
{'descr': '环境不错！价格合适，通过酒店点评选择入住的，酒店wifi信号强，上网很给力，十分适合出差的人入住，赞赞赞！', 'star': 5}
{'descr': '嗯', 'star': 5}
{'descr': '没有携程上的图片那么干净，其实是比较老的一家旅馆了，不过好在便宜也不能要求太多了。。。安静挺安静的，在一些老社区里，还可以接受。', 'star': 3}
{'descr': '图便宜去的，就那么回事', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境很好，门口交通方便', 'star': 5}
{'descr': '非常简陋，很差，不过很便宜，省钱才考虑', 'star': 2}
{'descr': '对这个我们只能说交通超利~~里面得环境卫生不怎么样~东西都损坏的差不多了', 'star': 5}
{'descr': '卫生蛮干净的，周围也挺方便，就是离地铁站很远。。', 'star': 5}
{'descr': '  还不错  就是地方太难找了', 'star': 3}
{'descr': '条件一般。这个价位只能这样了。', 'star': 3}
{'descr': ' 还不错', 'star': 3}
{'descr': '地方有些难找，别的还可以，刚住下不知道服务怎么样', 'star': 3}
{'descr': ' 个人认为还行！', 'star': 3}
{'descr': '服务不错，地点有点偏。热水器有问题，水一直都不热。请人维修还是一样的。', 'star': 5}
{'descr': '很好很干净很卫生很方便,建议洗发水多放几袋，长头发有些不够用', 'star': 5}
