{'短评内容': '洒店设备陈旧,房间感觉老旧。', '短评打分': 3}
{'短评内容': '空调半天不热，停车还要收费，想不通，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '酒店不错,只是外面的一些风景少了些,住住是不错的,只是早餐不够理想,希望能改善,下次还会来的,希望能更好啊', '短评打分': 5}
{'短评内容': '还好  硬件不错  软件不行', '短评打分': 3}
{'短评内容': '+能再邋遢点儿么，连个床头灯都没有！', '短评打分': 5}
{'短评内容': '酒店陈旧，房间里有一股霉味，空调噪声很大，不推荐入住！', '短评打分': 1}
{'短评内容': '酒店还行，只是感觉周边有些旧，房间也一般', '短评打分': 5}
{'短评内容': '酒店感觉很不好，服务态度很冷淡，一点都不热情，房间里显得不是很干净，设施方面陈旧，位置还好，出行还算比较方便，这样的酒店下次我是不愿意住了。', '短评打分': 1}
{'短评内容': '去年新装修过，可能维护不是很好.所以设施略有陈旧.而且服务各方面很一般.', '短评打分': 1}
{'短评内容': '房间里有霉味，电梯门口的地毯都是褶皱的，而且酒店附近不好打车。服务员态度还可以，按照这个价位来说，这个情况，我感觉性价比蛮低的，下次不会再选择。', '短评打分': 1}
{'短评内容': '房子里有股霉味，还有座子的小门坏了。楼梯的卫生不好。打车也不好打。', '短评打分': 1}
{'短评内容': '看在价格和交通的份上还能接受，酒店服务只能说很一般~~', '短评打分': 5}
{'短评内容': '酒店设施好，安静。房间卫生干净，室内布置为客人想的周到。下次还去住。', '短评打分': 5}
{'短评内容': '总体感觉还算不错，以后会经常去的', '短评打分': 5}
{'短评内容': '很不错的地方', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '总体不错，就几个房间的隔音不好', '短评打分': 5}
{'短评内容': '房内霉味太重，空气不好。', '短评打分': 1}
