{'短评内容': '还凑合吧，房间还是可以的。', '短评打分': 5}
{'短评内容': '住的挺满意的，交通，饮食各方面都挺方便。', '短评打分': 5}
{'短评内容': '首先到了前台，服务员极其不耐烦。其次订房间的时候说有蓝牙音箱也没看到，床头也没插口。房间里充满着各种商业广告。和特价或者普通大床房根本没有区别…真的怀疑给的就是普通的大床房而已…', '短评打分': 3}
{'短评内容': '挺不错的，', '短评打分': 5}
{'短评内容': '方便快捷，体验很好', '短评打分': 5}
{'短评内容': '一般般吧，都差不多', '短评打分': 5}
{'短评内容': '空调不好', '短评打分': 4}
{'短评内容': '嘿嘿', '短评打分': 4}
{'短评内容': '隔音不怎么好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！', '短评打分': 5}
{'短评内容': '1', '短评打分': 3}
{'短评内容': '环境不好', '短评打分': 5}
{'短评内容': '房间比较干净，安静', '短评打分': 5}
{'短评内容': '房间很干净，服务还可以', '短评打分': 5}
{'短评内容': '特惠房价格实惠，房间也还可以', '短评打分': 5}
{'短评内容': '交通位置不错，环境挺好', '短评打分': 5}
{'短评内容': '重新装修了，感觉挺新', '短评打分': 5}
{'短评内容': '每个房间差异很大，性价比还可以', '短评打分': 4}
{'短评内容': '不错。离宝安汽车站很近的。周边有很多饭店各具特色。周围都是住宅区，感觉比较安逸。。。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '环境不错，价格也不贵', '短评打分': 4}
{'短评内容': '价格实惠，环境一般！', '短评打分': 4}
