{'短评内容': '地理位置好，酒店环境也不错！', '短评打分': 5}
{'短评内容': '酒店房间很干净，房间设施古香古色中式装修，房间面积合适，标准间居住两人挺合适，空调热水24小时供应，酒店距襄阳北街也不远，步行10分钟就能到达。', '短评打分': 4}
{'短评内容': '看照片吧！', '短评打分': 3}
{'短评内容': '办事方便，服务很好，下次还过来住！', '短评打分': 5}
{'短评内容': '老牌四星，外观大气，但装修就真不敢恭维了', '短评打分': 5}
{'短评内容': '很不错的啦', '短评打分': 5}
{'短评内容': '清静，可以睡个好觉', '短评打分': 4}
{'短评内容': '还可以，安静，服务有待提高。', '短评打分': 4}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '安全，价格小贵', '短评打分': 5}
{'短评内容': '在这方面', '短评打分': 4}
{'短评内容': '不建议住，好歹也是四星级酒店的附属楼，去十堰的武当国际酒店去看看人家的附属楼房间。', '短评打分': 3}
{'短评内容': '被忽悠了，网上100多的房间原来是在酒店主楼旁边的一栋楼，也没个人带着，还要自己找，房间没wifi，被子很薄晚上睡觉冷死人了，想说开暖气吧，一打开只送风。洗个澡吧水小就算了，问题是水温还很低，真是体质差点的千万就不要洗澡了。另外最最让人受不了的是居然还有小强在爬！！！??失望之极，想着找家称头点的酒店住还真不如那些个小宾馆。', '短评打分': 2}
{'短评内容': '128元的是住在副楼 感觉一般 相对来说价格略贵了', '短评打分': 4}
{'短评内容': '设施陈旧，空调不好，没有wifi相比较性价比低', '短评打分': 3}
{'短评内容': '酒店看起来还不错，刚入住，需要进一步体验。不过午饭吃得还好，两个人点的菜，占了一个大包间，米饭很香，呵呵', '短评打分': 5}
{'短评内容': '环境真不错，有古典感觉', '短评打分': 3}
{'短评内容': ' 襄樊川惠大酒店很不错', '短评打分': 3}
{'短评内容': '出差去的  地方不错 真的非常很安静         感觉很好  非常不错。。。。。。     推荐大家去。 ', '短评打分': 5}
{'短评内容': '预定了一天的房，第二天续房时被告知住的房间已经被别人预定，服务台也没打电话询问我要不要续订房间，要住的话只能加钱换别的房间，以前也多次在网上预定，从来没碰到过这样的情况，曾经碰到过预定后去了没房的，酒店主动将房间免费升级成高级别的房，没见过要往外面赶客人的，同样是酒店，怎么处理的方法会差这么远，洗澡的水超级小，走廊上的厕所常年上锁，双人间上厕所想节约时间都不行，真是个节约的酒店，很不方便，以后不会', '短评打分': 1}
{'短评内容': '环境不错... 服务也不错... 下回还会选择这里...', '短评打分': 5}
{'短评内容': '服务态度不错...装修也不错...值得推荐...', '短评打分': 5}
{'短评内容': '交通很方便！步行可以去汉江边，夜晚住宿很安静，值得选择！', '短评打分': 5}
{'短评内容': '不错，很好！房间很大，设备和装修风格也很不错，推荐！', '短评打分': 5}
{'短评内容': '空调有很大噪音，茶叶是过期的，找服务员说没有了。。。。\n早餐还可以，停车场很大。', '短评打分': 5}
{'短评内容': '对于这价位还行吧  停车场很大 房间内感觉不怎么样 就这个价格了', '短评打分': 5}
{'短评内容': '位于襄阳古城内，离出差的地方比较近，酒店比较古色古香，服务一般般，三星差不多吧！', '短评打分': 5}
{'短评内容': '房间干净、整齐，晚上也很安静，早餐也可以！', '短评打分': 3}
{'短评内容': '酒店非常棒，位置好，在古城旁边，四星级酒店，价格也很低。', '短评打分': 5}
{'短评内容': '酒店挺安静 房间设备也还行  就是没吹头发的 别的都还行', '短评打分': 5}
