{'短评内容': '服务体验感超级差，窗户坏的，露风，只有空调，没有暖气，就一床被子，服务员服务态度差，好评都是假的！！', '短评打分': 1}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '帮朋友亲戚订的 主要离开会的地方近 酒店还不错 停车不太方便', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间很脏，味道特难闻，没有WIFI', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境差  服务更差', '短评打分': 2}
{'短评内容': '整体环境还可以', '短评打分': 5}
{'短评内容': '还可以，位置方便。', '短评打分': 4}
{'短评内容': '马马虎虎 当时纯粹是为了找个洗澡睡觉的地方 距离火车站也比较远 领导嘴上不说心里应该是一肚子意见吧 吸取教训 下次即使多一点钱也要让领导和同事们满意 毕竟大家出来出差还是很辛苦的', '短评打分': 4}
{'短评内容': '一般般，这个价格还可以接受！', '短评打分': 4}
{'短评内容': '酒店太贵了，前台服务态度不好。', '短评打分': 4}
{'短评内容': '住过最差的一个酒店，物丑价高！', '短评打分': 1}
{'短评内容': '房间还可以，空间很大，出差住这休息的还不错', '短评打分': 4}
{'短评内容': '评论太多了，一切都还可以的', '短评打分': 5}
{'短评内容': '住习惯了，就是没有发票啊，有点不习惯', '短评打分': 5}
{'短评内容': '还好的地方，交通好啊', '短评打分': 5}
{'短评内容': '酒店房间很大，网络非常差，豪华标间居然无法上网，卫生状况还可以的。', '短评打分': 3}
