{'短评内容': '就都很一般吧……', '短评打分': 3}
{'短评内容': '平生第一次被她们骗了，本来押金是两百，后来说，找不到收条，后来才退100块，悲催呀，千万别再去了！', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置偏僻，交通不变，生活不便利', '短评打分': 3}
{'短评内容': '房间卫生还好，位置偏僻，交通不便', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '地理位置还可以，离屯溪老街比较近，步行十来分钟就到了酒店旁邊是鐵軌，很吵，訂房上說有線免費，實際上連有線都沒有，大堂有無線網，但地插沒法用。', '短评打分': 4}
{'短评内容': '这是我住过的最差的了！！！位置很偏，卫生差！最奇葩的是我住的那个房间，洗完澡后水流的卫生间满地都是不说，竟然还穿过墙直接流到房间的床边，估计是装修质量差防水层直接坏了，问题出现肯定不是一天两天的事了，店方不但不维修还把这样的房间交付给客人使用，这样做生意简直是不可思议。入住当天旅游的人多，市区酒店紧张，原本这样的档次的酒店在当地也就一百多，现在竟然卖400，请问店家对得起这个价格吗！', '短评打分': 1}
{'短评内容': '这家酒店应该是专门接旅游团的，房间很多，有两栋楼，我住的那栋没有无线。房间卫生不行，打扫不干净，浴室里居然还挂着之前住的人的毛巾。空调等设备还行。周围感觉有点荒凉，离老街有2公里。', '短评打分': 3}
{'短评内容': '环境不好，卫生比较差，连空调效果都不好。下次不来了。脏乱差', '短评打分': 1}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '还挺好的，设施都不错，值得推荐', '短评打分': 5}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '酒店很大，环境不错。', '短评打分': 3}
{'短评内容': '挺不错的，房间比较大，空调也很给力，卫生间的热水水量充足，秒热。', '短评打分': 5}
{'短评内容': '返利多但是里面旧，门面看起来挺富贵的，有股墙壁的霉味，记住问你要网线钱的话一定不给，哪个酒店不提供网线的！', '短评打分': 1}
{'短评内容': '酒店条件不错，价格也实惠，就是我住的这天网络故障不能上网。', '短评打分': 5}
{'短评内容': '酒店春节期间服务员少，许多岗位没人，客人喊人都没结果。', '短评打分': 3}
{'短评内容': '酒店比较旧。明显是翻新不彻底就拿来营业的。服务员的素质还有待提高。', '短评打分': 1}
{'短评内容': '价格偏高', '短评打分': 3}
{'短评内容': '入住可以!', '短评打分': 3}
{'短评内容': '入住可以', '短评打分': 3}
