{'短评内容': '房间空间稍小', '短评打分': 3}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '还算干净，但无线网不行，房间电话也不行。。。。。。。。。。', '短评打分': 3}
{'短评内容': '环境很好，干净卫生。床睡着也舒服，非常不错，以后会常来', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '位置很好，房间一般', '短评打分': 3}
{'短评内容': '还不错，就是服务员态度不是很好，其他很好，离火车站汽车站特别近，特别方便', '短评打分': 5}
{'短评内容': '房间不是太好，烟味太浓，房间太旧，总体对不起129的价格。早知道住莫泰或汉庭了。', '短评打分': 3}
{'短评内容': '非常差，前台的态度也很差，强烈不推荐', '短评打分': 3}
{'短评内容': '外表感觉不错，内部不敢恭维，服务态度不佳，今后绝不再住', '短评打分': 1}
{'短评内容': '交通挺方便  就是房间小了一点', '短评打分': 3}
{'短评内容': '只能说地段 比较好...环境之类的  有些老....', '短评打分': 1}
{'短评内容': '环境还可以，离车站近比较方便', '短评打分': 3}
{'短评内容': ' 房间还不错，就是服务态度比较差！', '短评打分': 3}
{'短评内容': '垃圾中的战斗机啊，，就是一招待所！！！哪叫宾馆啊！！！', '短评打分': 1}
{'短评内容': '服务太差，下次免费都不住。', '短评打分': 3}
