{'短评内容': '挺好的  卫生不错', '短评打分': 5}
{'短评内容': '不错不错错', '短评打分': 5}
{'短评内容': '房间干净 安静 适合居住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错干净', '短评打分': 5}
{'短评内容': '订单反馈速度快，订房快捷方便。', '短评打分': 5}
{'短评内容': '干净整洁好', '短评打分': 5}
{'短评内容': '很好，离极地海洋公园很近。', '短评打分': 5}
{'短评内容': '很满意，离极地海洋公园很近', '短评打分': 5}
{'短评内容': '酒店设施一般化 ', '短评打分': 3}
{'短评内容': '位置不错，交通便利，总体感觉性价比还行。', '短评打分': 4}
{'短评内容': '到崂山区办事，结果事情没办完就近住在这了，离海边很近，对面有几家海鲜大排档，吃了一家觉得很一般。  酒店环境还有点特色，有海洋风格的壁画和装饰。  最大的问题是WIFI不安全，手机用WiFi上了下qq第二天就发现被盗了，所以给了有待改善。  虽然离市区远点，但是可以做公交到中山路。', '短评打分': 4}
{'短评内容': '环境还不错，靠近海边，需要走十分钟，不过酒店环境不错，很有海边的感觉！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店很干净，环境很好，很暖和有地暖，装修很有特色，地中海感觉很棒，价格也便宜，下次还会选择再来！', '短评打分': 5}
{'短评内容': '非常好 干净 卫生 靠近石老人', '短评打分': 3}
{'短评内容': '因为是新酒店，屋内有装修遗留的味道，中央空调不是很给力，隔音有些差，隔壁打个喷嚏都能听见，半夜隔壁还有叫声。', '短评打分': 5}
