{'短评内容': '很不错，京东订酒店很方便', '短评打分': 5}
{'短评内容': '非常好，感觉舒适，价格适中', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '太烂了，估计快倒闭了的酒店，基乎没服务，离城区又远不说周边啥都没有，打个车还要加价，订的单间大床房，床居然是2张标间的床拼起的，的确够大', '短评打分': 2}
{'短评内容': '酒店装修还可以，相当于不挂星的四星', '短评打分': 5}
{'短评内容': '酒店位置有些偏，要开车去', '短评打分': 4}
{'短评内容': '这边不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置偏，一共三层楼，前台只有一个服务员，入住的是所谓套房，一进门一个麻将机和扑面而来的烟味夹杂霉味，酒店被子是潮的，床品质量看起来很差，窗户很窄小，无法通风换气，隔音差，门外走路的声音，楼上用水的声音，隔壁打麻将的声音全能听的清清楚楚，小憩也无法。周边没吃的，前台说可以叫roomservice，然而房内床头电话和浴室电话都是坏的没法用，半夜开车回市区住了，这种酒店430一晚还是四星，醉了', '短评打分': 2}
{'短评内容': '阴雨天，被子湿漉漉的！晚上过来的时候前台居然没有人！', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好…………………………………………………………', '短评打分': 4}
{'短评内容': '太偏远了～～～～～～', '短评打分': 3}
{'短评内容': '还好，偏僻', '短评打分': 5}
{'短评内容': '空调开了一晚上，温度都升不起来。周边都是农田，什么也没有，交通不便。早餐一大碗白面条。这能吃吗？', '短评打分': 1}
{'短评内容': '大偏离市区较冷清、服务一般', '短评打分': 4}
