{'短评内容': '位置很好，外景区内，旅游方便，有特色！', '短评打分': 5}
{'短评内容': '设施一般', '短评打分': 4}
{'短评内容': '位置好，旅游方便，服务热情！', '短评打分': 5}
{'短评内容': '不错，位置很好，有特色！', '短评打分': 5}
{'短评内容': '宾馆位置还可以。环境一般。有停车场。温度非常低，晚上很冷。早餐很简单。网上评价会误导朋友。以至于携带家属，是一次一般的入住', '短评打分': 3}
{'短评内容': '位置不错，很有地方特色，旅游很方便。', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '在孔林和孔府之间，位置很好，显陈旧，有霉味，不过城市整体水平就这样，服务员态度好', '短评打分': 4}
{'短评内容': '环境卫生差点，服务是真心不错', '短评打分': 2}
{'短评内容': '酒店不错，性价比超高。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利，去孔林和孔庙等景点都很方便。', '短评打分': 5}
{'短评内容': '位置还是很不错的！环境也还可以！文化气息非常浓厚！儒家文化装修，带小孩来本验下。', '短评打分': 5}
{'短评内容': '不错，离三孔比较近', '短评打分': 5}
{'短评内容': '酒店装修的古色古香还不错 挺舒服的 离三孔也很近 完全可以步行 就是不好找 开始都到了发现门口一巨大的钱柜ktv招牌 重新设导航发现还是这才进去的', '短评打分': 5}
{'短评内容': '酒店位置不错，去孔林和孔庙等景点都很方便。服务也不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利，去孔林和孔庙等景点都很方便。早餐也还不错，房间干净，住的舒服，服务周到，价格也可以', '短评打分': 5}
{'短评内容': '酒店真是超赞的，棒极了。服务态度超级好，还送了小礼物，屋内设置干净，很满意，第一次在携程上订房间，很满意，很满意欢迎大家订这家酒店。', '短评打分': 5}
{'短评内容': '酒店位于景區中心，房间很干净，布置的也很温馨，相比同档次酒店，性价比高。服务员很热情，下次还会入住', '短评打分': 5}
{'短评内容': '距离孔林较近，距离孔府孔庙也不太远，但周边没有吃饭的地方。空调不给力，采光不给力，但小城市也就将就了。', '短评打分': 5}
{'短评内容': '对于景区内的三星级，已基本满意。入住时，酒店将大床房免费升级至亲子房，首先表示感谢。缺点：1、所有房间窗户外都对着墙，基本无视野，透风透光都不是太好；2、酒店位置离孔林较近，逛逛就到了，距孔府孔庙后门也不远，但孔府孔庙的入口都在前门，所以距离有点远，需坐车；3、周围没什么商业区。优点：1、酒店装修较新；2、吃饭可以在酒店内解决；3、酒店人员服务很好，需要咨询一些事的话，会有几个主管跑过来帮你解决。', '短评打分': 5}
{'短评内容': '酒店地址靠近孔林近，环境还可以，但是酒店的空调不好，热啊！希望改进！', '短评打分': 5}
{'短评内容': '地理位置很好，房间装修风格很温馨,很干净整洁,硬件很好,服务非常热情,位置交通便利,价格适中,早餐很丰盛,赞一个!\n', '短评打分': 5}
