{'短评内容': '很喜欢！风格小清新啊！', '短评打分': 5}
{'短评内容': '还算比较好找，老板服务态度还行。我们有3个人，住入双人间，没有加钱。岛上的酒店真的不怎么样，卫生感觉没有搞干净，房间也很小。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '酒店环境挺不错的，老板很热情，关键是非常方便，出门就是街心广场…吃饭去景点都很方便。', '短评打分': 5}
{'短评内容': '在弄堂里 按导航比较好找，不过环境太一般了 很旧的房子，要不是赶十一不好订房间肯定就要换一间了，房门感觉不是很安全', '短评打分': 3}
{'短评内容': '位置很好，出门就是三丘码头，就是卫生有待提高。', '短评打分': 4}
{'短评内容': '好吧，这次厦门行，每天最头疼的就是小朋友抢房间了！因为是家庭房，所以小朋友很新奇的，对一切都好奇，这个阁楼的布局是他们很喜欢的，一家子出来正好！鱼总管也很好！上岛之后的路径都是细心发送，摸不着路了，就找鱼管家求救吧！哈哈哈！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '离中心花园非常近，出行非常方便，前台帅哥挺热心介绍鼓浪屿景点，不过有一些不足之处，晚上蜘蛛大的吓死我。', '短评打分': 5}
{'短评内容': '不错。老板很好！环境也不错。位置非常棒????刚好在小吃街隔壁。', '短评打分': 5}
{'短评内容': '环境还可以。离龙头路就一条小路的距离，很近。房间隔音效果不好，貌似厦门很多旅馆都这样。貌似接待是个慢和善的帅哥。。。其他不记得了', '短评打分': 5}
{'短评内容': '不错，出门就是闹市区，不管去哪儿都很方便，补交了30元，把房间换了一个大点儿的，满意', '短评打分': 5}
{'短评内容': '还不错，房间装修也还好，出门就是闹市区，但是休息时很安静。老板很热情，还看到了里面的形象代言人-猫咪李小龙，', '短评打分': 5}
{'短评内容': '很有味道的家庭客栈，家庭房，房间装饰不错', '短评打分': 3}
{'短评内容': '位置不错，老板态度很好，只是没有发票', '短评打分': 5}
{'短评内容': '地理位置不错，就在中心花园旁边，出门就是繁华区域，门口那家本地小吃摊味道不错，推荐！', '短评打分': 3}
{'短评内容': '我订的是家庭套房，房间小了点但够用了，感觉还不错孩子很喜欢，但698的价格竟然还不开发票', '短评打分': 3}
{'短评内容': '整体很干净，很舒适！', '短评打分': 3}
{'短评内容': '地理位置不错，可是房间和洗手间都太小了，不知道是我们这间是这样，还是所有都很小。', '短评打分': 1}
{'短评内容': '酒店环境还可以，离龙头路很近，很繁华，整体感觉不错', '短评打分': 3}
{'短评内容': '住在一楼的翡冷翠。东西多，真是庆幸。但洗手间极小，没地方可以站着洗澡，洗手间的天花有一半是这个小旅馆的楼梯。然后服务态度也不好，吹风筒也没。也不是真正的爱猫，甚至还赶自己家的猫。。因为前台的小姐害怕那个猫。。内部装修一般，很虚伪的感觉。。清明小假和好友一起住，觉得398真的很不值。。！！！！！找了很久，不会再去', '短评打分': 1}
