{'短评内容': '出差蛮适合的', '短评打分': 5}
{'短评内容': '挺好的，还可以干净卫生，', '短评打分': 5}
{'短评内容': '房间靠马路，有点吵', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住的住房干净，安静', '短评打分': 5}
{'短评内容': '临时决定出游，预订方便快捷，有房间就是最大的便利，挺干净的，隔音效果略差，但是快捷酒店都差不多，挺满意的。', '短评打分': 4}
{'短评内容': '环境一般，不提供早餐，没有一次性剃须刀，让出差人士不方便。', '短评打分': 4}
{'短评内容': '东山风景很美，人也不多，好！酒店不算特别好，但这个价位，且又是连锁酒店，性价比来说是非常高的！推荐给了同事和亲朋，自己下次来东山也会再住！', '短评打分': 3}
{'短评内容': '东山就这么一家可以住了', '短评打分': 4}
{'短评内容': '卫生好，服务周到。', '短评打分': 4}
{'短评内容': '楼下是洗浴店，后面是杀猪的。房间卫生还OK，周边交通也算方便。带孩子来玩就不建议了', '短评打分': 3}
{'短评内容': '还不错，在小镇上，很安静，周边也很方便', '短评打分': 5}
{'短评内容': '太贵太贵太贵太贵', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '价格贵', '短评打分': 4}
{'短评内容': '作为快捷酒店，干净是最重要的，如家这点还是不错的。', '短评打分': 5}
{'短评内容': '方便干净，但设施简单。停车场位置不多。', '短评打分': 3}
{'短评内容': '酒店在太湖东山，比较好找，网站这里上的图片都是实景图，个人观点为老楼新装，住着算是还行，酒店斜对面就是一个超市，购物方便，出门往左拐走到底的路上往左是雕花楼，往右有些饭店，有太湖三白，价钱实惠，一家连大人孩子5个人200就能吃着特色', '短评打分': 5}
