{'短评内容': '一分价钱一分货', '短评打分': 5}
{'短评内容': '停车较方便', '短评打分': 4}
{'短评内容': '门口就是地铁', '短评打分': 4}
{'短评内容': '出行方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '马桶不大好，wifi都没办法连上', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '房间干净，自助餐不错', '短评打分': 5}
{'短评内容': '房间从卫生、设施来说是挺不错的，早餐也比较丰富，退房时间可以延长到十三点三十分，很人性化，下次来还会考虑住这的。', '短评打分': 5}
{'短评内容': '酒店设施不错，服务人员态度很好，', '短评打分': 5}
{'短评内容': '帮亲戚定的，关键离家近，交通还蛮方便。房价不是太可爱', '短评打分': 5}
{'短评内容': '出行非常方便，环境也很不错', '短评打分': 5}
{'短评内容': '环境好，交通方便，设施齐全，服务周到，整洁卫生。', '短评打分': 5}
{'短评内容': '房间很大，挺干净，早餐一般，地理位置优越，离地铁站近，下次还会入住！........', '短评打分': 4}
{'短评内容': '贵了点、就图个方便、地铁口.', '短评打分': 4}
{'短评内容': '环境舒适.下次还会再来.\n一家不错的酒店', '短评打分': 5}
{'短评内容': '环境不错，比较安静，就是地下停车场有点小，价格稍微有点贵', '短评打分': 5}
{'短评内容': '朋友入住的，一如既往的好，还有早餐丰富！', '短评打分': 5}
{'短评内容': '很不错哦，房间设置很不错。网速很快，比寝室强多了！目前很满意的说！', '短评打分': 5}
{'短评内容': '酒店房间不是很大，但早餐还可以，地理位置很和我个人要求', '短评打分': 5}
{'短评内容': '宾馆设施不错，性价比高', '短评打分': 3}
{'短评内容': '酒店离办事情的地方比较近还可以。就是有关问寻方面有待加强，你要想问个事情问个路的真是头晕回答是：不知道。遗憾啊遗憾，可能是上海人排外的原因吧', '短评打分': 5}
{'短评内容': '帮朋友订的，反馈说还行，离他要去的医院挺近。', '短评打分': 5}
{'短评内容': 'food are really really good, both breakfirst and dinner. Very nice!', '短评打分': 5}
{'短评内容': '感觉还是很好。酒店的服务和以前一样很让人满意。\n', '短评打分': 5}
{'短评内容': '不错的酒店.卫生状况很好.有机会会再住. \n', '短评打分': 5}
{'短评内容': '可能是二军大旗下的关系吧，进大门一瞬间感觉既大气又正气，为家人定的房间，家人也觉得很是不错，不过房间设置还可以再软性点', '短评打分': 5}
{'短评内容': '非常好，早餐非常丰富，房间很大，很安静，物有所值', '短评打分': 5}
{'短评内容': '挺好的酒店，性价比很高；早餐很丰富，服务态度很好；下次一定会继续入住', '短评打分': 5}
{'短评内容': '位置尚可,紧邻地铁站.北楼房间略小.一进门有潮味(下水道味).服务尚可.', '短评打分': 3}
{'短评内容': '房间一般。没在上海市区住过。不知道价钱是不是算贵德。', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '地理位置不错，比较方便，内部环境很好，价格也比较合理。', '短评打分': 5}
{'短评内容': '军队的宾馆，挺豪华的，房间很大，不错。就是管理太死板了，不够服务标准。', '短评打分': 5}
{'短评内容': '过于死板了管理，但是条件还是不错的，以后跟他们枯早点说清楚。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', '短评打分': 5}
{'短评内容': '，住412，OK', '短评打分': 3}
{'短评内容': '入住409房间', '短评打分': 3}
{'短评内容': ' 环境不错 也很安静 就是没有无线网络 不是很方便', '短评打分': 3}
{'短评内容': '上海锦雪苑酒店房间满意，交通挺方便的，离我办事的地方很近。', '短评打分': 5}
{'短评内容': '在上海比较偏远的地方，夜班服务员态度机械，没有热心和微笑，标准间应该是三星的水平。', '短评打分': 1}
{'短评内容': '房型良.酒店位置好.服务态度优。价格高。', '短评打分': 3}
{'短评内容': '酒店卫生好，酒店设施好，酒店房间大，酒店离地铁近。早餐比较单调。', '短评打分': 5}
{'短评内容': '酒店条件很好  就是靠路边的房间太吵', '短评打分': 3}
{'短评内容': '房间还可以，就是地毯显旧了点，行政房价格再便宜点就好了。', '短评打分': 5}
{'短评内容': '房间设施还行，位置还是挺好找离地铁站也比较近，性价比还可以。', '短评打分': 3}
{'短评内容': '位置好，交通出行很方便，而且服务人员态度也非常好，给我印象还是挺不错的.', '短评打分': 5}
{'短评内容': '去二军大特方便，不足的是洗澡水偏小，老年人冬天洗澡有点凉。', '短评打分': 5}
{'短评内容': '酒店不错呀！', '短评打分': 3}
{'短评内容': '很整洁，服务业很好，距离长海医院也算还近，门口就有地铁口，离五角场也蛮近的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '房间还不错装修也很不错，位置倒不是很好找，价格的话还好，服务态度一般般。', '短评打分': 5}
{'短评内容': '很干净 早餐样品也很多 服务员态度很好 门口就是地铁8号线 离五角场和长海医院都很便利', '短评打分': 3}
{'短评内容': '酒店不错，挺显档次的，空间挺大，也很干净，住的相当舒适。', '短评打分': 5}
{'短评内容': '位置很好，出行很方便，服务也不错，房间干净整洁，设施齐全，整体感觉很不错。', '短评打分': 5}
{'短评内容': '卫生很好，房间打扫的很干净，每天也有人及时来打扫，感觉这点挺不错。', '短评打分': 5}
{'短评内容': '房间打扫的挺干净，卫生间挺大的，床也挺大挺舒适的，网速也不慢，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '位置还不错，离五角场挺近，购物很方便，离地铁也挺近，出行也比较方便。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面挺不错，房间很干净，隔音也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '总体来看，酒店还不错。但是卫生环境差点。主要是服务员的卫生做的不太好。头一天洗头掉下的头发一直留在卫生间内。酒店到世博园座地铁约1小时，稍远了点。', '短评打分': 5}
