{'短评内容': '酒店位置优越，靠近静安寺地铁站，但设施陈旧简陋', '短评打分': 3}
{'短评内容': '挺安静    就是公寓楼   住一晚两晚的 挺好  毕竟这个价钱在这个地段还算便宜了   ', '短评打分': 5}
{'短评内容': '地方挺大 热水需要等很久 适合短期住几天的游客 ', '短评打分': 3}
{'短评内容': '相对还是性价比高的', '短评打分': 5}
{'短评内容': '周边很方便，前台很亲切房間挺大的', '短评打分': 5}
{'短评内容': '不错的酒店 性价比还不错', '短评打分': 5}
{'短评内容': '还可以吧 性价比中等 ..', '短评打分': 5}
{'短评内容': '一般般，上海物价贵，能理解', '短评打分': 5}
{'短评内容': '非常不错，个人来说比较满意哈', '短评打分': 5}
{'短评内容': '位置不错，硬件一般', '短评打分': 5}
{'短评内容': '挺好的 多次入住了 ', '短评打分': 5}
{'短评内容': '都还可以，超方便……………', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '上海の中心部に非常に近く、ビジネスでのアクセスは本当に良かった食事などに関しては、旅行などで行くかた（言葉が話せないなど）だと少し不便かもしれないが部屋の広さと、滞在している間のアットホームな雰囲気はとても良かった', '短评打分': 4}
{'短评内容': '酒店是在一座写字楼里的，没有正规门牌！根本不值得300多！！设施陈旧！！跟招待所差不多！电热水器烧的热水，我洗完了老公要等1小时才能洗澡！冲澡间堵塞！！要不是无法退订，真想再找个酒店！绝对差评！！！！！', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次入住，虽然这次没有升级大房间，但一个人已经很足够了，远比连锁酒店好，有厨房用品可以做吃的，有冰箱和洗衣机，不错', '短评打分': 5}
{'短评内容': 'This apartment has some very good points. It is in a fantastic location, a couple of minutes walk from JingAn Temple but off the main road so its not too noisy. The reception staff are very friendly a', '短评打分': 4}
{'短评内容': '地理位置很好，离开地铁很近，周围吃的东西很多', '短评打分': 5}
{'短评内容': '酒店的位置还是很不错的，出行，吃饭都很方便。普通大床房的房间没有照片里那么大，但是舒适度也还是OK的，不过因为床沿比较宽，住了3个晚上被撞到无数次，左右膝盖一边乌青了，一边刮了一大条血痕，实在挺郁闷的……', '短评打分': 5}
{'短评内容': '非常好, 地點好,房間乾淨, 附近吃飯及便利商店都有,很方便, 服務人員態度也很好', '短评打分': 5}
{'短评内容': '帮老板定的，他出差，说很好，在市中心，开会很方便', '短评打分': 5}
{'短评内容': '个人旅游从成本角度考虑此公寓确实不错，旺中带静。但从公务的角度评估，此公寓因夹杂在住家和写字楼之中，始终有点不太正规的感觉，所以原预定了4天的房间，最后只住了1天便转往正规酒店居住。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '帮客户预订的，不错，酒店式公寓，这个价格这个地段，超值。', '短评打分': 5}
{'短评内容': '房间宽敞，装修较新，有餐桌、茶几、沙发和衣柜，实木地板。小厨房炉灶、冰箱、微波炉和炊具齐全，卫生间有洗衣机和干衣机，不过浴室玻璃房太小。总体评价性价比很高。', '短评打分': 5}
