{'短评内容': '淋浴花洒使用不是太方便，其他都是物有所值啊', '短评打分': 5}
{'短评内容': '居然没有找到吹风机，东北这么冷，没有吹风机好尴尬吧，也没有免费矿泉水，洗澡间胖一点的人一定转不过身，真心一般般吧', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '服务很热情，位置很好，只不过设施有些陈旧，洗澡水放了很久才热', '短评打分': 4}
{'短评内容': '早餐一般，不能加床。', '短评打分': 5}
{'短评内容': '交通方便，房间设施全', '短评打分': 5}
{'短评内容': '房间有几个档次，来之前可以去房间先看看，有带液晶电视的，还有老的那种电视，周边交通便利，早餐不错，床也很舒服', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '特别舒服。特别好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '为了到哈工大方便，选择的这家酒店，设施有些老', '短评打分': 4}
{'短评内容': '酒店比较老，装修比较早。', '短评打分': 4}
{'短评内容': '酒店位置还算可以，在工大校园附近，附近公交车很多，还有地铁，酒店设施旧了点，装修一般，房价还是较低的，性价比过得去。', '短评打分': 4}
{'短评内容': '酒店位置还算可以，在工大校园附近，附近公交车很多，还有地铁，酒店设施旧了点，装修一般，房价还是较低的，性价比过得去。', '短评打分': 4}
{'短评内容': '交通方便，服务较好', '短评打分': 5}
{'短评内容': '离哈工大很近，房间的空调不给力啊，开到最大还是冒汗。', '短评打分': 5}
{'短评内容': '干净 不错', '短评打分': 3}
{'短评内容': '房间里有电脑，空间尚可，温度也可以，就是早餐不够丰富', '短评打分': 5}
{'短评内容': '酒店所在位置交通方便，价格适中，但领孩子考试延时可开钟点房，并未准确告知，多花半天的房费，希望服务态度有所改进', '短评打分': 5}
{'短评内容': '这家酒店距离哈工大很近，里面环境还可以，早餐 不怎么样。', '短评打分': 5}
{'短评内容': '到房间已经23：00多了，里面没有水喝，也买不到，老外不高兴了，以后是不敢帮他订这个酒店了。', '短评打分': 1}
{'短评内容': ' 含早餐，交通方便\n楼下是尚居饺子，工大边上，很好', '短评打分': 5}
{'短评内容': '主要是地点比较好,离工大很近,所以办事非常方便.其它倒是一般般.', '短评打分': 5}
