{'短评内容': '性价比可以，酒店卫生还有提升空间', '短评打分': 5}
{'短评内容': '酒店位置还不错，环境卫生有待提高', '短评打分': 5}
{'短评内容': '环境很不错！下次还住这。', '短评打分': 5}
{'短评内容': '每次来香港都选铜锣湾智选，重要的是舒适干净，早餐就在楼下的李麟右李，很好吃，几个套餐选其一，酒店位置超级棒，从机场坐快线，铜锣湾地铁上来就是时代广场，出来就看到酒店了，路程半小时，酒店对面就是时代广场，往右走三分钟就是利舞台，再走五分钟就是希慎广场和崇光了', '短评打分': 5}
{'短评内容': '酒店就位于铜锣湾时代广场北侧，地铁来往非常方便。房间属于比较舒适的，空间挺大的，还有张沙发床。早餐是楼下左麟右李吃的，6种set随意选。前台服务员服务态度一般，希望能更热情一些。', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '不错，位置很方便，环境也不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置非常方便，在铜锣湾时代广场旁边。', '短评打分': 5}
{'短评内容': '已第二次入住了，出行购物特别方便', '短评打分': 5}
{'短评内容': '位置绝佳，购物方便', '短评打分': 5}
{'短评内容': 'Holiday inn 的评价就不用细说了，一如既往的喜欢', '短评打分': 5}
{'短评内容': '房间虽小，价格也实惠，另外，逛街超级方便！', '短评打分': 5}
{'短评内容': '方便出行，购物便利。', '短评打分': 5}
{'短评内容': '竟然没有拖鞋，醉了', '短评打分': 4}
{'短评内容': '打车不方便', '短评打分': 4}
{'短评内容': '非常好，出行方便，出酒店右转右转就是聪嫂甜品，很很很好吃哦', '短评打分': 5}
{'短评内容': '地段不错，但前台办理入住简直超慢', '短评打分': 4}
{'短评内容': '配套比较齐全，有免费WiFi，电视有中文台，离铜锣湾地铁站非常近，交通方便。', '短评打分': 5}
{'短评内容': '位置超级好就不说了，房间干净整洁，床超级舒服，一天逛下来再累只要睡一觉，第二天立马精神了！', '短评打分': 5}
{'短评内容': 'good', '短评打分': 4}
{'短评内容': '酒店内部还是不错的  位置也挺好   还送早餐 矿泉水', '短评打分': 5}
{'短评内容': '去铜锣湾购物，这家酒店是首选，与时代广场一路之隔，交通便利。从这里回深圳或到深圳机场极为方便，时代广场就有直达车，票价单程HKD130。', '短评打分': 5}
{'短评内容': ' 交通实在是太方便了，酒店干净，非常满意！', '短评打分': 3}
{'短评内容': '就在时代广场后门，购物极方便。楼下还有个聪嫂星级甜品味道超好。酒店服务也不错，铜锣湾购物首选', '短评打分': 5}
{'短评内容': '地理位置很好，适合购物的住客，但是香港的房间都是这么小，大床睡2个人超挤。总的来说还算不错。', '短评打分': 5}
{'短评内容': '房间偏小，交通方便', '短评打分': 3}
