{'短评内容': '代朋友预订，城市中心，交通方便,临近铁牛广场，人民公园，楼层高！可观绵阳夜景,价格优惠,干净卫生，条件舒适,房间宽敞！楼下地下室有免费停车场！朋友入住感觉不错', '短评打分': 5}
{'短评内容': '代朋友预订，城市中心，交通方便,临近铁牛广场，人民公园，楼层高！可观绵阳夜景,价格优惠,干净卫生，条件舒适,,房间宽敞！朋友入住感觉不错', '短评打分': 5}
{'短评内容': '都还可以吧，推荐看夜景的入住', '短评打分': 4}
{'短评内容': '非常棒！！几乎实景和图片一样的，而且细节方面很不错。交通方便，床垫很好，睡着舒服，非常干净卫生。。。这个价格，还有早餐，虽然早餐不怎么样。是我住的所有酒店里最性价比的一家！', '短评打分': 5}
{'短评内容': '隔音差 厕所异味较大 空调没有 幸好订的双人间 拿两床被子盖的 没备用被子 太省了', '短评打分': 3}
{'短评内容': '位置很好，风景很好，周围小吃很多。去哪都方便', '短评打分': 5}
{'短评内容': '位置很好，风景很好，周围小吃很多。去哪都方便', '短评打分': 5}
{'短评内容': '很好不错非常不错哈！！！！', '短评打分': 5}
{'短评内容': '很好不错非常不错哈！！！！', '短评打分': 5}
{'短评内容': '非常好，爸爸妈妈都很喜欢', '短评打分': 5}
{'短评内容': '等了一个多小时房间才打扫出来，结果还不是我订的房间，说因为那个房间有人住??我看网上价位也不同。', '短评打分': 5}
{'短评内容': '房间还是挺好的，就是隔音效果太差了，隔壁的声音多听得到', '短评打分': 5}
{'短评内容': '有点空，说实话没有想像中的好！只能说一般', '短评打分': 3}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '性价比不错，值得再来！', '短评打分': 5}
{'短评内容': '各种好', '短评打分': 5}
{'短评内容': '环境很棒', '短评打分': 5}
{'短评内容': '服务热情周到，下次出差还会选择！', '短评打分': 5}
{'短评内容': '还不错。环境可以', '短评打分': 5}
{'短评内容': '新装修，感觉不错。。。。。可以看夜景', '短评打分': 5}
{'短评内容': '房间有特色，出行很方便，态度很和蔼，电梯太难等。', '短评打分': 5}
{'短评内容': '酒店服务员态度很好，房间也很有特点，周边吃喝玩乐都齐全，唯一不足是电梯是和楼里共用，太难等了！', '短评打分': 5}
{'短评内容': '习惯性好评。就在绵阳市中心附近，几分钟的路，在这个位置这么好的条件，性价比非常高。屋子里真实场景和图片一样，看江景也非常美。', '短评打分': 5}
{'短评内容': '可以观光是一大特色。夜景很美。早晨在天台还可以看到铁牛广场和越王楼。交通也很便利。性价比很高的一家酒店，值得推荐~', '短评打分': 5}
