{'短评内容': '酒店的位置不错，楼道也不错，房间太差了，地板都坏的', '短评打分': 3}
{'短评内容': '前台的人和打扫的人给人一种高傲的感觉，借个吹风机都感觉欠他钱，不是很热情，酒店性价比不错，隔音一般', '短评打分': 3}
{'短评内容': '房间布置不合理，毛巾不太干净，没有窗户。不过距离公交站很近，方便出游。', '短评打分': 4}
{'短评内容': '好臭', '短评打分': 1}
{'短评内容': '心有落差', '短评打分': 3}
{'短评内容': '设备陈旧', '短评打分': 3}
{'短评内容': '好还可以，就是有点破', '短评打分': 3}
{'短评内容': '店老板很热情，房间不错，交通便利。周边生活很方便，啥都有，就是装修有点老了', '短评打分': 3}
{'短评内容': '感觉还可以，房间蛮大的', '短评打分': 3}
{'短评内容': '怎么说呢，服务态度还可以，就是有点小贵，电视不太清楚，总之还可以吧，能住', '短评打分': 3}
{'短评内容': '不錯環境地點都不錯值得去', '短评打分': 3}
{'短评内容': '环境还算不错，价格实惠，交通方便', '短评打分': 3}
{'短评内容': '住了这么多酒店，这简直就是我住过最差的了！！！连旅馆都不如！！房间里味道恶心的要死，一股臭臭的酸奶味！打扫很不干净！说好的22平米我看连15都不到吧。窗帘一抖那灰尘简直了，到处都是灰！房间里四个插座，居然只有厕所里一个可以充电！房间里没有大灯，只有几个微亮的小灯。厕所脏的让人想吐！很旧，毛巾也是泛黄！118价钱也还好，但是我觉得这个连70的都不如！居然还给我们一个路边的屋子，吵死了！！！', '短评打分': 3}
{'短评内容': '不错，价格是便宜的，其他性价比还好', '短评打分': 4}
{'短评内容': '还不错 以前住过', '短评打分': 5}
{'短评内容': '住宿环境不错，值得推荐', '短评打分': 4}
{'短评内容': '这个价位的酒店设施算是一般吧，主要卫生间不行', '短评打分': 5}
{'短评内容': '这个价位的酒店，设施算是一般吧，主要是卫生间不行', '短评打分': 5}
