{'descr': '房间有点小，不过价格还可以，床单什么，一般', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '大床房太可怜，了。服务还可以，厕所有味，排风不太好', 'star': 1}
{'descr': '大床房小的有点可怜', 'star': 3}
{'descr': '房间安静 整齐 服务很好 非本店住客不让上楼 很安全', 'star': 5}
{'descr': '入住柠檬酒店南塔店服务还不错,就是房间小了点有点可怜。', 'star': 3}
{'descr': '比较陈旧 房间小 性价比不高 服务态度不错， 设施需要改善！', 'star': 1}
{'descr': '酒店门口在装修，味道很大。环境不太好，很破旧', 'star': 3}
{'descr': '房间还算干净，主要离地铁口近，离世博近，附近吃饭的地方也多。', 'star': 3}
{'descr': '还行 出行方便 市中心 还行 出行方便 市中心 还行 出行方便 市中心', 'star': 5}
{'descr': '干净是国信最大的亮点。有热水洗澡，有独立卫生间。在闹市区，这个性价比没的说了。如果下次还来附近出差，一定还会选它！', 'star': 5}
{'descr': '这次订的速8很失败，小旅店水平，第二天迫不得已换去如家，差', 'star': 3}
{'descr': '酒店很好,服务很好,我很满意。', 'star': 3}
{'descr': '速8沈阳南塔店硬件一般，服务也一般。不过，位置不错。', 'star': 5}
{'descr': '房间一般，配套服务还行，隔音效果一般。', 'star': 3}
{'descr': '窗户不能锁，卫生间地漏反味，水龙头打开十分钟才出热水，虽然是经济型但也不能经济成这样吧。', 'star': 1}
{'descr': '特价房紧靠锅炉房,锅炉的噪音一直响到晚上十一点左右,早上五点多又开始响了.其它条件都还好.', 'star': 3}
{'descr': '酒店还可以，挺干净，主要是机场附近酒店太少了，住这里还算方便', 'star': 3}
{'descr': '他家环境太差了，太差了…', 'star': 3}
{'descr': '酒店不错，麻雀虽小五脏俱全，但是到了晚上不知是周围施工还是水管的问题有点吵，还有就是门特别特别特别难关，不过可以体谅啦，服务还是可以的', 'star': 5}
{'descr': '住过两次，一开始图个办事方便价格实惠，后来实在忍受不了店的住宿条件，最终还是换了一家其他的酒店住宿！', 'star': 1}
{'descr': '条件相对简单，不过要在周边办事，这里比较方便。', 'star': 5}
{'descr': ' 非常差的酒店 极端失望 屋子小 洗面盆超级矮  感觉给儿童用的 卫生也很差 水龙头没有花洒 放了十五分钟冷水 才微微热 地面超级滑 锻炼身体 条件非常差 ', 'star': 1}
{'descr': '估计是老招待所改的，设施简陋陈旧，房门还是用钥匙开得，卫生一般，床铺潮湿。', 'star': 1}
{'descr': '已入住', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '就是蚊子太多 冬天还可以 价位相对不高  里面空气还好 适合冬天入住 附近的吃的东西还蛮多的', 'star': 5}
{'descr': '酒店电视频道太少，还有就是标房只有两条毛巾，感觉不太方便！真是一分价钱一分货啊！不过地段出门办事还是挺方便的！', 'star': 3}
