{'短评内容': '酒店有停车位，能看到大风车，离海边也不远，挺好的。', '短评打分': 4}
{'短评内容': '酒店非常一般，对不起这个价格，但国庆期间也就将就睡了', '短评打分': 3}
{'短评内容': '据朋友反映不错的一间度假酒店。', '短评打分': 5}
{'短评内容': '没有想象的好，位置偏，停车方便，吃饭要走的比较远，离沙滩也远，主要是海陵岛规划不好，人也不旺，服务需要加强', '短评打分': 3}
{'短评内容': '住的还是挺舒服的，离大角湾也不算太远，一开始有点难找，在隧道口附近。建议游泳去十里银滩，大角湾要收门票的而且不好停车。', '短评打分': 4}
{'短评内容': '房间好多灰尘，房顶上好多霉点，像好久没住人一样', '短评打分': 2}
{'短评内容': '酒店环境不错很舒适只是离大角湾太远', '短评打分': 5}
{'短评内容': '价格较合理，房间较大，酒店门口的停车场较大', '短评打分': 5}
{'短评内容': '便宜舒适，出来公干也没什么要求的', '短评打分': 4}
{'短评内容': '离景点有点远，要开车过去。酒店比较新，环境和卫生都算不错，值得推荐。唯一美中不足的就是隔音差了点，早上隔壁有旅行社的人，导游叫人出发的声音好吵', '短评打分': 5}
{'短评内容': '脏乱差，服务态度差，什么都差，丢尽了我的脸，', '短评打分': 1}
