{'短评内容': '非常好的一家酒店', '短评打分': 5}
{'短评内容': '好！！！！很好，环境好，服务好，价格也合适，特别是床睡起很软很舒服，，，，，比同价位的酒店好得太多了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店可以', '短评打分': 5}
{'短评内容': '环境不错，每次出差都住这里', '短评打分': 4}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '五星级酒店的质量还是可以滴', '短评打分': 5}
{'短评内容': '五星级酒店，还可以啦', '短评打分': 5}
{'短评内容': '装修不错，入住舒适', '短评打分': 5}
{'短评内容': '到德阳一直住太平洋酒店，各方面都不错！', '短评打分': 5}
{'短评内容': '一个比较老的五星级酒店，设备比较旧了，但值得一提的是这个前台的服务非常好，比得上一流五星酒店的服务，让人非常舒服。', '短评打分': 5}
{'短评内容': '很好，搞活动时低于同城其他酒店，早餐非常丰富', '短评打分': 5}
{'短评内容': '很好 早餐丰富', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在德阳已经是很不错的酒店，酒店设施和服务、房间卫生干净整洁，周边环境很好，交通出行拜访客户都算方便，总的来说不错的选择', '短评打分': 5}
{'短评内容': '环境很好，服务很好', '短评打分': 4}
{'短评内容': '交通便利，环境优美……..........................', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很不错的酒店，我可是忠实客户了', '短评打分': 5}
{'短评内容': '有点小贵，帮别人订的。', '短评打分': 5}
{'短评内容': '环境不错就是保安态度来恶劣', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间整洁卫生，前台服务热情周到，下次还会入住！ \n', '短评打分': 5}
{'短评内容': '在德阳算是比较好的酒店了，餐厅的菜不好吃。。。', '短评打分': 5}
{'短评内容': '酒店一个字大。干净安静，值!', '短评打分': 3}
{'短评内容': '德阳最好的酒店,许多国家领导人曾入住过.环境优美,房间很大,设施豪华.值得推荐.', '短评打分': 5}
{'短评内容': '酒店环境及硬件设施都不错，就是楼下的KTV很吵', '短评打分': 3}
{'短评内容': '房间配套不全，连吹风冰箱小食品都没有，不具五星', '短评打分': 3}
{'短评内容': ':酒店巨大，初次走进找房间象迷宫，房间有些冷，早餐不错，下次再来', '短评打分': 3}
{'短评内容': '该酒店有几个房间上网有问题,而前台和工程部都不知道,害的我以为是电脑问题,重装了系统,丢失了好多邮件.希望能够改进. 不过挺感激电脑门店的小伙子的,帮我装电脑.', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 3}
{'短评内容': '酒店很干净，吃饭也方便，服务态度也不错，早饭超级棒，尤其是咖啡和吐司，非常好吃， 价格也比较实惠，可以签订公司协议，我们去二重办事，很多客户都住这里，方便，推荐一下- ', '短评打分': 5}
{'短评内容': ' 这家酒店不错，设施挺新的，服务和管理也正规，早餐内容丰富。就是晚上睡觉被蚊子咬了几个包，不爽。价格对于自费旅行偏贵，出差旅行可以考虑，', '短评打分': 5}
{'短评内容': '房间真的很不错，卫生条件也很好，就是餐点有点贵。', '短评打分': 5}
{'短评内容': 'yirujiwangdehao...........', '短评打分': 5}
{'短评内容': '堪称德阳最好的酒店！不论从装修到设施硬件都相当不错，早餐也很好！', '短评打分': 5}
{'短评内容': '整体装修是特色 圆形的建筑 找房间转了一圈 呵呵 ', '短评打分': 5}
{'短评内容': '酒店不错，没啥可抱怨的。但对于德阳的的城市该酒店的价格有些太高。', '短评打分': 5}
{'短评内容': '这是德阳档次最高的，当然也是最贵的，出公差比较好的选择，特别是有老外一起出差这里是唯一选择。', '短评打分': 5}
{'短评内容': '硬件设施和服务都感到满意。是德阳唯一一家可考虑给外国同事选择的酒店，所以最近我的德国同事来德阳我都在这里订房间。', '短评打分': 5}
{'短评内容': '总体还不错，不知是不是德阳最好的酒店了，下次去应该还会住那里。', '短评打分': 5}
{'短评内容': ' 很不错! 没想到在一个中小城市能有这么好的宾馆。', '短评打分': 3}
{'短评内容': '房间和卫生已经地理位置都还可以，就是价格偏高，性价比不高', '短评打分': 5}
{'短评内容': '德阳最好的酒店，但是价格偏贵，在3线城市有点夸张了。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很方便，交通便利，不过还是相对有些偏，卫生蛮干净的，服务也很好，性价比适合。', '短评打分': 5}
{'短评内容': '徒有其表，价格巨高，早餐品种单调，餐厅一份普通炒饭价格48元。', '短评打分': 1}
{'短评内容': '帮外宾订的，反应还不错', '短评打分': 5}
{'短评内容': '抱歉，因點選錯誤，上一則點評內容不正確!\r\n\r\n德阳太平洋国际饭店一切都很不錯，就是價格高。', '短评打分': 3}
{'短评内容': '原本預定的普通標間壁紙嚴重脫落，只好加價一百元入住新裝修的房間。', '短评打分': 5}
{'短评内容': '作为德阳的最好酒店, 有点失望.', '短评打分': 1}
{'短评内容': '整体感觉还可以，性价比不是很高，娱乐的地方性价比就更低了...', '短评打分': 5}
{'短评内容': '是德阳最好的酒店，但地理位置较为偏远，周围的配套设施还不是很完善。如果价格能再便宜一些，相信今后我每次都会住那里的。', '短评打分': 5}
{'短评内容': '总的来说还可以,属于德阳那边比较好的酒店了.比较干净,沙发也很舒服.', '短评打分': 5}
{'短评内容': '酒店房间内的网络太慢,不太稳定.水也不稳定,其它还都比较满意,要是水和网络不能改善还是不太推荐的.', '短评打分': 3}
{'短评内容': '平安夜入住豪华单间，价位合理，大堂漂亮，客梯太小气，房间宽敞，装修还行，但没什么特别之处，床很舒服，卫生间格局严重不好，淋浴一开到处溢水，而且要提出的是卫生问题，有点累想泡个澡，浴缸还比不上三星级的清洁，哪还敢泡，如果工作人员看到此评论，请重视，德阳有个这么漂亮的五星级是很好，但细节跟不上就有些对不起这么大的投入了。也对不起我们报的期望值了。', '短评打分': 1}
