{'短评内容': '在酒店底楼有一快餐厅，价格比较亲民，品种也蛮多！酒店离沙面老建筑街不远，进出还比较方便，过街要走天桥，有行李走天桥还是有点吃力的，地铁一，六号线进出很方便。黄沙海鲜市场就在酒店后面，酒楼可以加工！', '短评打分': 4}
{'短评内容': '就在一个商场后边 来的路有点坎坷 这儿的马路有点可怕', '短评打分': 3}
{'短评内容': '就是很冷 很冷', '短评打分': 2}
{'短评内容': '交通方便，地理位置优越，性价比高', '短评打分': 5}
{'短评内容': '酒店位置还可以，离地铁很近，方便。环境一般，该有的基本设施都有', '短评打分': 4}
{'短评内容': '窗户对着走廊，屋里潮气较重，房间很小，在一栋老式居民楼上。位置倒是极好，出门过桥就是沙面岛。', '短评打分': 3}
{'短评内容': '此订单被取消，估计房间放错了', '短评打分': 5}
{'短评内容': '距离近方便办事，但是感觉卫生不行，大厅走道有味道', '短评打分': 3}
{'短评内容': '非常好，位置方便，服务热情。', '短评打分': 5}
{'短评内容': '位置方便，服务热情。', '短评打分': 5}
{'短评内容': '房子很小有油烟味', '短评打分': 2}
{'短评内容': '前台还算蛮热情的啦 见人会打招呼 还算不错', '短评打分': 5}
{'短评内容': '墙皮掉了 地面长蘑菇 遥控器也是坏的  环境像鬼片场景', '短评打分': 1}
{'短评内容': '正好下午没热水………', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '携程订房，拿商务的价格住低价自主的房间，免费的早餐酒店半年前己不供应，纯粹摆式，是谁在欺骗消费者呢，', '短评打分': 1}
{'短评内容': '有蚊子蟑螂', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '离沙面很近，就这一个值得说的。房间内很小，价格很贵，味道很大。不建议入住。', '短评打分': 3}
