{'短评内容': '性价比极高，基本上没有什么不足了，就这个价位', '短评打分': 5}
{'短评内容': '房间很大很干净，窗外风景不错，下次还会入住r', '短评打分': 5}
{'短评内容': '早餐一般，适合家人，位置方便，有停车场', '短评打分': 5}
{'短评内容': '好好好好好，…，…', '短评打分': 5}
{'短评内容': '房间很好，住的很舒适', '短评打分': 5}
{'短评内容': '酒店环境不错，也挺舒适的', '短评打分': 5}
{'短评内容': '酒店豪华 门口和后门也非常容易停车适合自驾游和家人一起去绍兴玩，因为是在不是很大的路上，所以价格也非常合适', '短评打分': 5}
{'短评内容': '酒店很好，不论是内部房间，还是设备设施都很不错！早餐也很不错，品种较多，性价比高。是商旅出差的好选择！', '短评打分': 4}
{'短评内容': '不错 实惠', '短评打分': 4}
{'短评内容': '酒店可以的，一栋楼里夜宵吃的，玩的都有，穿个拖鞋就不用出去了.', '短评打分': 5}
{'短评内容': '房间挺干净的，没问题。一踏入电梯时我就闻到了火锅味儿，果然，四楼是餐饮…据当地代理商说两百多这个价格在当地不上不下，没有星级，所以住的人不多。', '短评打分': 5}
{'短评内容': '外出商务住住还行', '短评打分': 5}
{'短评内容': '环境马虎，', '短评打分': 4}
{'短评内容': '很好更实惠。', '短评打分': 5}
{'短评内容': '值得再来，服务态度很好！', '短评打分': 5}
