{'短评内容': '骏辉酒店很好，房间很大，卫生挺好的', '短评打分': 3}
{'短评内容': '这家不错，装修很好，上档次。就是卖东西不怎么方便，水果店要走很远', '短评打分': 5}
{'短评内容': '准四星酒店，性价比高，就是地理位置有点小偏，房价无窗不是很爽！', '短评打分': 5}
{'短评内容': '今天又空点评，那就都补上了，骏辉还是一如既往的好啊', '短评打分': 5}
{'短评内容': '必须推荐，去住过好多次，装修水平不错，前台的操作水平也在增长', '短评打分': 5}
{'短评内容': '还是很不错的!这个老板应该算是很有眼光了，这个位置前景很不错，大商场在建。距离西湖和市中心是比较远', '短评打分': 5}
{'短评内容': '还算不错！这次的入住有点小插曲。前台新来的员工还是要练练技能。', '短评打分': 5}
{'短评内容': '总体来说性价比不错的酒店 环境好 房间也大 自己带车的话会方便一些', '短评打分': 3}
{'短评内容': '好，而且原来是准4星，现在差不多是4星了好像。建议可以去住，性价比非常高', '短评打分': 5}
{'短评内容': '一如既往的好！！星级的装修，实惠的价格。', '短评打分': 5}
{'短评内容': '离市区灰常远，热水器水也不是很热。\n隔音效果一般，半天经常有人敲错门。\njust soso.\n不过服务很热情。', '短评打分': 5}
{'短评内容': '地段极偏，餐厅极差，最可悲的是不能刷卡。只有房间还差强人意。另，房间内空调噪音很大。', '短评打分': 1}
{'短评内容': '性价比很高的酒店  里边的小炒价格实惠  好吃而且量也足', '短评打分': 5}
{'短评内容': '还是四星级的酒店呢，我看前台服务员的水平和素质亟待提升。', '短评打分': 1}
{'短评内容': '房间还不错，离飞机场比较近，但离市内比较远一点，周围没什么购物和吃饭的地方！', '短评打分': 5}
{'短评内容': '女儿跨进酒店大厅就喜欢上了她，很温馨。虽然房间里有烟味，房间水龙头、电脑键盘坏了，结账时还被算了无须有的矿泉水的钱，但是，和中环饭店比，我还是会极力推荐这一家。前台服务态度超好，发现问题及时更改，最关键的是，还有停车场......', '短评打分': 5}
{'短评内容': '1,空调不怎么制冷\n2,早饭不怎么好,有点打发人的味道', '短评打分': 1}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 5}
{'短评内容': '当然会推荐，服务态度还是那么好，硬件没的说，价格很实惠，可能就是位置离市中心西湖比较远一点,但是我还是很喜欢这家酒店，住的舒服。', '短评打分': 5}
{'短评内容': '总体来说还是很好的，客服态度也好，除了位置偏点，其他都是很方便的。吃的喝的往东新路那边走都有。值得推荐', '短评打分': 5}
{'短评内容': '骏辉酒店还是那么靠谱，下了高架就是酒店了。这次住五楼，早上去感受了一下早餐，很温馨，很好吃，很给力啊。下次肯定还会入住这家酒店。', '短评打分': 5}
{'短评内容': '很好，性价比高，服务很好，一旦确定是哪个房间，你如果对这个房间某一方面不满意，虽然能换，服务台是能不换就不给你换的', '短评打分': 5}
{'短评内容': '相当好，性价比很高，如果要超市饭馆走个七八分钟到东新路那里，很满意', '短评打分': 5}
{'短评内容': '不管是软件，还是硬件都让人不满意。就是一个特大的招待所。', '短评打分': 1}
{'短评内容': '地理位置比较偏，这是唯一的小缺点。\n房间很不错，饭菜也比较可口。\n有家的气息。', '短评打分': 5}
{'短评内容': '非常干净，非常新，态度不错！性价比非常高！很值得入住！推荐！', '短评打分': 3}
{'短评内容': '地理位置不是靠近市区，但人员设施都很不错，不是很吵的地方，也很干净，订到特价是很划算的，特别是电视机很大很清晰，看电影都很爽啊！', '短评打分': 3}
{'短评内容': '很好的酒店哈！很喜欢啊，很干净，挺大哈！还会再来的！', '短评打分': 5}
{'短评内容': '挺好的，当时没我要的那种房间了，他们给我开了更好的的房间，服务态度很好', '短评打分': 5}
