{'短评内容': '酒店很好的 早餐也不错，下次出差还回来', '短评打分': 5}
{'短评内容': '这个亲子房我特别满意，一大床一小床，就是这边太潮湿了，需要一直开着空调。酒店离万达也近，过个路口就到了。早餐是不错的，星级标准。另外，这个酒店真的特土豪，就是很大。。。很高。。。', '短评打分': 5}
{'短评内容': '作为十一自驾中间停靠站还是不错的，价格不贵，万达很近，吃饭方便，隔音略差，但是可以接受带宠物，对于带着小狗出游的家庭来说不能再要求更多了', '短评打分': 5}
{'短评内容': '绝对不会再来第二次的酒店。。。', '短评打分': 2}
{'短评内容': '订了最贵的房间，进门想上厕所，打开马桶盖，里面是一坨头发、烟灰、还有用过的纸巾的东西，恶心。。。因为订了四个最贵的房间，只剩三个了，还把一间调下去一档，所以我也没换房间，要洗澡的时候，水开在那，一下子水就满了，下去很慢，而且浮着很多死飞虫。。。没心情洗澡就洗了脸和头，洗完头拿浴巾的时候，两块浴巾之间也有死飞虫。。。真的是怀疑有没有打扫过！房间有一股子霉味，空调声音也大。。边上还有不正规的KTV 。', '短评打分': 2}
{'短评内容': '酒店应该是原来其他什么剧场或者啥改造的，房型很奇怪，4楼电梯都没有，还要自己拎上楼。。\n房间装修比较旧，设施一般，服务也一般，早餐种类不多，不过味道还行', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '高端大气，位置好，还有演出看。', '短评打分': 5}
{'短评内容': '距离万达广场很近 吃喝玩乐方便 房间很干净很大。晚上进来大厅漆黑一团，led灯太小了 太黑了。早饭还不错。', '短评打分': 5}
{'短评内容': '比较干净的～地段也不错，交通很便利', '短评打分': 5}
{'短评内容': '还可以吧  家庭房的空间刚好过得去  不算大不算小   唯一不习惯的就是洗澡没有花洒  只有头顶固定的喷头', '短评打分': 5}
{'短评内容': '总体好好', '短评打分': 5}
{'短评内容': '酒店具餐饮，娱乐，健身等于一体，档次很高。这次入住是参加同事女儿的婚礼，订了一个标准间，房间很大，设备齐全，唯一不足的是洗手间与卧室之间的玻璃门没有隔光帘子，为了不影响小孩睡觉，我在洗手间只能熄灭所有的灯作业，很不方便。早餐种类不算多，但该有的都有了。', '短评打分': 5}
{'短评内容': '早餐太差，说是七点开始有早餐，等到八点都没有什么吃的东西。', '短评打分': 3}
{'短评内容': '名字虽然很大气，实际很一般。装修下了点功夫，但局限于大楼的结构，采光很差，房间里黑漆漆的', '短评打分': 4}
{'短评内容': '服务一流，设施完善，环境优雅，物超所值。', '短评打分': 5}
