{'短评内容': '干净房间宽敞，服务完善具备商务一体化设施。星级商务酒店！', '短评打分': 3}
{'短评内容': '非常一般的酒店，什么都没有', '短评打分': 3}
{'短评内容': '商务套间较大，适合朋友休闲。床很大，很好。问题：外间空调坏了，开了一整夜温度没有上升；浴缸的塞子坏了，居然还要用捅马桶的皮老虎吸出来，想想就有点恶心啊；用酒店电脑居然还要购买上网卡。唉……', '短评打分': 1}
{'短评内容': '餐饮不错，大闸蟹仅18元一只，但房间内的用品太劣质。', '短评打分': 3}
{'短评内容': '酒店环境安静，服务也好，就是电视信号不好。总体性价比算是很不错的。', '短评打分': 3}
{'短评内容': '停车方便，安静，干静，液晶电视和电脑，硬床垫，早餐一般，性价比高！\r\n—陆剑鸣', '短评打分': 3}
{'短评内容': '不好，早餐7.30去的，什么都没了，夸张的是连筷子，盘子都没。服务态度也不好，房间内上网的网线太短，我要一根长点的，总台不情愿地答应了，后来就没了下文。退房的时候正遇到一房客在吵架。', '短评打分': 1}
{'短评内容': '酒店很好！就是隔壁在打麻将！我的神啊！叫我怎么能安心看书！', '短评打分': 3}
{'短评内容': '还可以,环境不错', '短评打分': 3}
{'短评内容': '性价比不错，其他一般，早餐品种太少，位子偏僻。', '短评打分': 5}
{'短评内容': '略显陈旧，淋浴的水太小，花洒也有点坏了，房间味道有点重', '短评打分': 1}
{'短评内容': '酒店硬件设施陈旧，电视台都是雪花，还没几个台。房间内烟味很重，空气很差。卫生间有恶臭。空调冷的要死。附近购物很不方便。', '短评打分': 1}
{'短评内容': '房间挺大的，床也挺大，床上用品挺干净挺显档次，睡得很舒服。', '短评打分': 5}
{'短评内容': '酒店房间很大，就是设施有点老，毛巾都破了，希望能改善下，早饭还没吃，不知道怎么样。。', '短评打分': 5}
{'短评内容': '环境挺好，安静干净，设施挺齐全，服务也不错，住的挺满意。', '短评打分': 5}
{'短评内容': '周边有公交，出行挺方便，内部挺干净整洁，感觉挺不错。', '短评打分': 5}
{'短评内容': '服务人员很客气，办事效果也挺快的，房间干净卫生，住的也挺舒适。', '短评打分': 5}
{'短评内容': '闹中取静，出行方便，环境可以，但希望能增加一些康乐设施并改进早餐水平；', '短评打分': 5}
{'短评内容': '酒店位置稍偏，早餐一般，房间隔音效果不太好。', '短评打分': 1}
{'短评内容': '酒店位置不算好   房间设置么也有点陈旧   酒店工作人员态度都很不错  服务很到位  夸奖一下  普通套房的性价比较高  下次再去的话还会住那里', '短评打分': 5}
{'短评内容': '酒店房间大，安静，交通很便利，去恐龙园和市区都一部车直达。室内还有麻将桌，人多可以打麻将了。', '短评打分': 5}
{'短评内容': '位置还可以，比较靠市区。价格偏贵了点，在168元比较合适了。早饭还不知道如何，待明日看了', '短评打分': 5}
{'短评内容': '还不错蛮干净的', '短评打分': 5}
