{'短评内容': '设施齐备', '短评打分': 5}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '', '短评打分': 5}
{'短评内容': '多次入住这家酒店，地位位置比较好，离地铁站很近，宾馆是老宾馆，到还干净卫生，比较安静。早餐种类多，味道不错。', '短评打分': 5}
{'短评内容': '性价比高，安静，房间大，位置好，其他说不好的是故意黑', '短评打分': 5}
{'短评内容': '不错，经济实惠', '短评打分': 5}
{'短评内容': '一个字好二个字很好三个字非常好四个字飞机吧好五个字飞球几爸好', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '唯一缺点无大床房，其他都不错', '短评打分': 4}
{'短评内容': '出来地铁站（B口），穿过桥洞，一直走，非常好找。房间空间大，也很干净，应该原来是机关招待所，所有服务人员训练有素，高贵礼貌地见人打招呼。', '短评打分': 4}
{'短评内容': '酒店前台不专业，沟通困难，很耽误时间！都是实习生！', '短评打分': 3}
{'短评内容': '离办事的地方近，位置还可以，服务态度有待提高', '短评打分': 5}
{'短评内容': '每次出差都住  很好  很方便', '短评打分': 4}
{'短评内容': '很好 位置很好 一直选这家酒店的', '短评打分': 4}
{'短评内容': '交通方便  酒店服务很好', '短评打分': 4}
{'短评内容': '环境不错，设施较旧。但整体不错。', '短评打分': 5}
{'短评内容': '还不错，只是早餐太简单了。', '短评打分': 4}
{'短评内容': '酒店地理位置好，处于地铁12号交汇的建国门站的500米；卫生干净，环境安静；服务态度好，早餐挺丰盛的；420无一晚，值！', '短评打分': 5}
{'短评内容': '住的普通标间，房间较大，但装修已显陈旧，洗漱用品档次低，是地摊货，与420元/天的价格不符，也有惊喜，那就是挂窗帘的钢丝居然可用来晾衣服。', '短评打分': 1}
{'短评内容': '舒适方便', '短评打分': 3}
{'短评内容': '酒店的位置不错，房间也比较大，舒适。但设施比较旧。相对于这个价格来讲，还是比较值的。', '短评打分': 5}
{'短评内容': '地点离车站 购物中心很方便地点离车站 购物中心很方便地点离车站 购物中心很方便地点离车站 购物中心很方便', '短评打分': 5}
{'短评内容': '离火车站很近 很方便离火车站很近 很方便离火车站很近 很方便离火车站很近 很方便', '短评打分': 5}
{'短评内容': '设施虽然老旧，但是服务热情周到，这个地点这个钱也算值了吧！', '短评打分': 5}
{'短评内容': '没啥可说的，政府附属的酒店。办事近。房间比较旧。420有点小贵。', '短评打分': 5}
{'短评内容': ' 服务一般 早餐不如以前。', '短评打分': 3}
{'短评内容': '酒店服务很好但家具有些陈旧。', '短评打分': 3}
