{'短评内容': '服务态度好,早餐很好,位字也好 ', '短评打分': 5}
{'短评内容': '没有早餐，房间很好。', '短评打分': 5}
{'短评内容': '一大早到达之后因为规定七点才能进入房间愣是在宾馆大厅呆坐一小时，号称四星居然在这么冷的天连空调都不开，询问能否开一小时钟点房，被告知只能加一天房钱才可以提前进入房间，真的很无语！早餐产品太单一！如果不是因为地点位置的原因肯定不会选择！当然下次再来绝对不会考虑这家酒店！服务太一般！', '短评打分': 1}
{'短评内容': '酒店位置比较好，在茨坪镇离天街不远。酒店比较老旧，早餐一般，门口可以免费停车。在这个镇上基本上都是位置好一点的酒店都比较老旧，价格高，消费贵。没办法谁让是景区呢。用导游的话来说你们来消费贵就是支援老区的，可是真实情况是老区人民宰你没商量，比游客富多了。', '短评打分': 4}
{'短评内容': '早餐简单', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间挺大，环境不错的，性价比可以的', '短评打分': 4}
{'短评内容': '作为评级4星的酒店确实太令人失望，且不说开业多年设备已经陈旧，各种服务和硬件大概也就勉强能与上世纪的三星级酒店看齐，尤其是早餐恐怕也就相当普通旅行团团餐水平。唯一称道的地方就是酒店的地理位置了。', '短评打分': 4}
{'短评内容': '很好，值得推荐！', '短评打分': 5}
{'短评内容': '在景区还算不错', '短评打分': 4}
{'短评内容': '在淡季时我的价格偏贵，旺季差不多，整体住宿环境可以，早餐相对于这个星级的标准来说太简单了', '短评打分': 4}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好，多次入住了！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，早餐差了点，', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '这家酒店还是不错的，比较干净！位置也不错！起码结帐的时候我朋友的手机会送到前台还给我。说明员工的素质还是不错的！赞一个！', '短评打分': 5}
{'短评内容': '与四星级酒店极不相称：\n      1、早餐极差，没有响应的服务员，品种少，品种差\n      2、酒店无停车指挥\n      3、进酒店灯都不开，极为凄凉', '短评打分': 1}
{'短评内容': '帮朋友订的，春节期间提前定，否则没有房间，反馈还不错。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店环境还可以，对得起这个价钱。。。。。', '短评打分': 5}
{'短评内容': '交通便利，早餐一般，硬件尚可，大厅服务人员不错，餐厅服务较慢', '短评打分': 5}
{'短评内容': '  己成功入住景园大酒店，酒店设施良好，条件不错。', '短评打分': 3}
{'短评内容': '不错的酒店，比较新，地理位置各方面都不错，酒店旁边就是井冈山革命博物馆，晚上沿着酒店附近的湖边散步非常写意，就是假期中价格偏高', '短评打分': 5}
{'短评内容': '很好，很不错！', '短评打分': 3}
{'短评内容': '酒店很好。', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '来井冈山已经4此了 每次都住在这个酒店 很不错的酒店 下次还会入住', '短评打分': 5}
{'短评内容': '不错的酒店，诚实守信，位置和服务设施、服务态度都都很好', '短评打分': 5}
{'短评内容': '还不错。电视信号不好，电视不清楚。如果能有加床服务就更好了。', '短评打分': 3}
{'短评内容': '位置还成，坐车挺方便，服务卫生也不错，房间布置挺温馨，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店看起来还不错，服务卫生都很好，设施也齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺合理，以紫色为主，感觉挺舒适，设施方面也不错。', '短评打分': 5}
{'短评内容': '一般般啦。', '短评打分': 5}
{'短评内容': '酒店的环境配置硬件来讲比较一般，但是在井冈山来讲算是很好的酒店了。还是地区差异卫生服务都还好，位置也很方便，性价比稍微低了点整体来讲算是比较及格的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '第一次去井冈山，景园酒店给我的总体感觉还算不错', '短评打分': 5}
{'短评内容': '很新的酒店，设施好，目前应该是井冈山最好的酒店。', '短评打分': 5}
{'短评内容': '很好,价格也不高.', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '刚开业的新酒店，设施比较的新，环境也很整洁，离井冈山景区也很近。走路就能到', '短评打分': 3}
