{'短评内容': '不咋地', '短评打分': 2}
{'短评内容': '早餐一般 酒店位置尚可 旁边就是临平最繁华的街道 停车厂太小 而且管理不好 二楼的饭店贵并且质量一般', '短评打分': 4}
{'短评内容': '非常经典的酒店，周边少了大都市的喧嚣，多了一份余杭地区的传统气息。周边很多当地特色饮食，小巷子，河里悠闲游动的鱼，店铺里闲坐吃饭聊天的顾客，显得非常悠闲，马云的阿里巴巴的发展壮大是否和这里的生活氛围有关呢！', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '晚上太吵闹！酒吧的声音', '短评打分': 4}
{'短评内容': '房间设计不错，空间大，强力推荐', '短评打分': 5}
{'短评内容': '还是不错的，环境可以，服务态度也好', '短评打分': 5}
{'短评内容': '还不错吧 房间小', '短评打分': 4}
{'短评内容': '位置好，交通方便', '短评打分': 4}
{'短评内容': '在老城区，位置不错，服务一般', '短评打分': 2}
{'短评内容': '位置不错，开会的多', '短评打分': 4}
{'短评内容': '房间…房间内设施都是ok的…早餐也ok的…就是房间外有个KTV太吵了…', '短评打分': 5}
{'短评内容': '住过很多次了，环境不错。客服也比较干净，设施还凑合吧。周边的餐饮和交通还比较方便的。早餐种类齐全，味道不错。', '短评打分': 5}
{'短评内容': '位置、设施都挺好。', '短评打分': 5}
{'短评内容': '卫生干净，商务出差的好选择。早餐丰富，服务周到，附近吃饭方便。唯一有些缺点，停车场有点难找，还要等位。', '短评打分': 5}
{'短评内容': '挺好的装修过了，出来什么都方便', '短评打分': 5}
{'短评内容': '很好的酒店，房间不大但是很舒适，餐厅特别好。', '短评打分': 5}
{'短评内容': '不错，性价比很高，餐厅好。', '短评打分': 5}
{'短评内容': '自己开车的话比较方便，不在市中心所以限行影响不大', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '整个酒店给人感觉很温馨,早餐品种很丰富;\n感觉很不错!', '短评打分': 5}
{'短评内容': '老地方了，已经住过几次了。出来逛街、吃饭、购物都很方便。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店被子潮。卫生间漏水。管理比较差。', '短评打分': 3}
{'短评内容': '还不错  比较卫生 房间比较大  服务员也比较好 网速很给力 就是隔壁住了个老外太吵了   总的还是不错的 性价比比较高的', '短评打分': 5}
{'短评内容': '房间不错，早餐也不错，比想像中要好得多，下次还来。', '短评打分': 5}
{'短评内容': '酒店位置很好，内部干净整洁，非常适合接待客户朋友，满意！', '短评打分': 5}
{'短评内容': '酒店还算便宜，住的也很舒服，下次还去该酒店！', '短评打分': 5}
{'短评内容': '很好滴   性比价高  便宜   服务态度好 ', '短评打分': 5}
{'短评内容': '性价比比较高的一家酒店。很干净。早餐品种偏少点，其他都不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间设施不错，干净，就是最近酒店有一工地施工，早晨4点就被工程机械的噪声吵醒，希望酒店核工程施工的队伍沟通下，晚点再开工啊', '短评打分': 5}
{'短评内容': '干净房间不大', '短评打分': 3}
{'短评内容': '，整体不错，洗手间小了点！', '短评打分': 3}
{'短评内容': '很不错，干净，设施齐全。早餐很好吃，服务态度棒', '短评打分': 5}
{'短评内容': '酒店距离城镇中心挺近，周边购物吃饭很方便，交通也挺便利。', '短评打分': 3}
{'短评内容': '酒店口碑挺好，服务卫生都很到位，设施也完善，价格还合理，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，交通很便利，服务上挺专业的，房间也挺干净舒适，这次住的挺满意的。', '短评打分': 5}
{'短评内容': '前台服务挺专业，办事效率挺高，设施挺好，有的房间还提供电脑呢，价格方面也挺合适。', '短评打分': 5}
{'短评内容': '房间挺干净的，采光也很好，基本设施都有，隔音也不错。住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺显档次，服务水平也挺好，房间挺干净挺舒适，性比挺高。', '短评打分': 5}
{'短评内容': '服务人员很热情的，房间比较宽敞舒适，基本设施都有，整体干净很不错。', '短评打分': 5}
{'短评内容': '房间挺宽敞，设施挺齐全，有宽带能上网，卫生打扫也很好。', '短评打分': 3}
{'短评内容': '卫生方面挺好，床上用品质量也很好，收拾的也挺干净，睡着很舒适。', '短评打分': 5}
{'短评内容': '印象挺不错的，出行方便，服务周到，性价比挺高。', '短评打分': 5}
