{'descr': '还不错，环境挺好，里清华有点远', 'star': 5}
{'descr': '作为格林豪泰还是低于平均档次', 'star': 3}
{'descr': '酒店位置挺方便，入住也挺方便，虽然就在路边，但关上窗户就安静了。出门过马路就是公交站，晚上去五彩城来去便捷，空调都挺给力，喜欢这儿的大落地窗，热水一到晚上就不太热了，可能用水的人多，这一点不太好，希望能改进~', 'star': 5}
{'descr': '离公司近 价格合适', 'star': 4}
{'descr': '很安静也很干净', 'star': 1}
{'descr': '没吃', 'star': 5}
{'descr': '还不错 早餐可以的 但是杯子枕套没有褶皱 好像没有换过', 'star': 5}
{'descr': '价格比到店现场定贵接近六十！发票不催不会主动寄！发票信息明明详细填写了，还要重新打电话告知他们！出差都回来一个星期了，发票才到！', 'star': 1}
{'descr': '去北语出差住的。很好很推荐。房间宽敞，光线充足，服务员也很友好，帝都的酒店都偏贵些，但是还是感觉物有所值的。', 'star': 5}
{'descr': '⋯⋯⋯⋯⋯⋯好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店附近通比较方便，服务态度很好，能够耐心解答作为便捷酒店性价比还是不错的', 'star': 4}
{'descr': '不太好找有点偏 但酒店不错', 'star': 5}
{'descr': '地方偏了点，交通不是很方便，其他都还好', 'star': 4}
{'descr': '挺好的，经常去，服务不错，交通便利', 'star': 5}
{'descr': '非常好的酒店，下次还会入住，性价比很高。', 'star': 5}
{'descr': '通过携程订的酒店，返现便宜了很多。酒店是我每次去北京都住的地方，性价比高，各方面都比较满意。这里特别要赞一下携程的客服，中间出了点问题，客服能积极沟通，圆满解决问题，不愧是国内第一旅游网站。', 'star': 5}
{'descr': '住的很舒心。\n少了一盏台灯和大灯。', 'star': 4}
{'descr': '干净，卫生，交通方便且价格实惠。', 'star': 5}
{'descr': '一般般，不如其他店。不过周围吃饭的地方较多', 'star': 1}
{'descr': '不错环境很好，很干净只是附近没有地铁，但是坐公交很方便，特别近，楼下有饭店、早餐也很好，超市也很近', 'star': 5}
{'descr': '不错的酒店，在北京算性价比很高的了，房间干净，宽敞明亮，就是地理位置太远，出去有点不方便', 'star': 5}
{'descr': '酒店很干净，房间宽敞明亮，服务也挺好的，有窗户。缺点是地理位置比较远，门前不怎么繁华，出去吃饭都需要去远一点的地方', 'star': 5}
{'descr': '这是第三次来格林豪泰了，，每次都是那么的满意，每天还免费送两瓶水，房间很大，很美式，是附近性价比很高的酒店，上电梯还要刷卡的，很有安全感。', 'star': 5}
{'descr': '还不错……挺干净的 视野也可以 服务态度也不错', 'star': 5}
{'descr': '挺好的，只是房间里没有大灯，只有小灯，不是太方便。\n ', 'star': 5}
{'descr': '挺好的，只是房间里没有大灯，只有小灯，不是太方便', 'star': 5}
{'descr': '推荐，酒店服务态度很好，环境很好，位置也不错。', 'star': 5}
{'descr': ' 服务态度蛮好，不过隔音效果是有点。。。', 'star': 3}
{'descr': '不错，宽敞明亮，房间比一般连锁店大，卫生也不错，性价比较高，就是离地铁站稍远，要做公交车。', 'star': 5}
{'descr': '很好的酒店，卫生，环境很好，服务员的态度也很好。客房都有窗户，宽敞明亮。唯一的不足就是地理位置不太好，去地铁站远了点，得先坐公交车', 'star': 5}
{'descr': ' 交通挺方便  就是完全无信号   手机根本无法接听也无法上网', 'star': 3}
{'descr': '酒店比较干净，设施齐全，比想象中的要好。', 'star': 5}
{'descr': '环境不错比想象中的要好，周围吃饭很方便。', 'star': 5}
{'descr': '环境很好，很值。', 'star': 3}
{'descr': '酒店设施很好，也比较安静，服务差强人意吧', 'star': 3}
{'descr': ':我已入住酒店。请问,您说的返还我现金怎么实现?', 'star': 3}
{'descr': '房间宽敞明亮，床也很舒服，唯一不足的是隔音效果差些，下次有机会还会选择。', 'star': 3}
{'descr': '挺干净的，坐公交很放便，下次还住这里，服务态度挺好的，去清华北大挺方便的有直达公交车，离五道口地铁站有398、355公交。', 'star': 5}
{'descr': '貌似新开的,方便,干净.前台服务效率高.楼下有两家小吃店很好,一家卖饭,一家卖饼.', 'star': 5}
{'descr': '价位，环境，都很不错，有机会还选这里，只是早上吧开车进城不太方便！', 'star': 5}
{'descr': '上次来也是住这家。可以说是清华周边性价比最高的酒店了。但这次入住有一点让人较不满意。酒店未主动换床单（原床单上有一块污渍，把换床单的卡片放床上也没有换），打电话催其更换说是客房部的下班了，明天给换，不过第二天还是没有更换。这点望改进，其余方面的话还是不错的。', 'star': 5}
{'descr': '酒店挺好找的，交通较便利，前台服务很不错，房间环境也挺好，这个价位，可以赞一个！', 'star': 3}
{'descr': '酒店的环境很好，打车、公交什么的很方便，楼下就有很多吃的，而且最让人满意的是服务特别的好！！！下次去附近的话，还会去住的！', 'star': 5}
{'descr': '挺好的，整洁，空间大，就是临街，有点吵，整体感觉不错', 'star': 5}
{'descr': '酒店卫生干净,房间面积较小,网络和电视信号都不好,建议改进。', 'star': 3}
{'descr': '房间设施很好，旁边吃饭有粥可选择，安静，值得选住', 'star': 5}
{'descr': '不错的酒店，很值', 'star': 3}
{'descr': '定的大床房，房间很大，卫生条件好，性价比挺高的。', 'star': 5}
{'descr': '挺不错的，就是离清华稍微远了点，不过幻境挺好的', 'star': 3}
{'descr': '还不错，干净整洁，闹中取静，价格也实惠，就是交通有些不方便。', 'star': 5}
