{'短评内容': '出行方便，在市中心', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '很不错，干净卫生', '短评打分': 5}
{'短评内容': '很正规的酒店，房间很大，很宽敞', '短评打分': 5}
{'短评内容': '整体已经很好啦，性价比也很高噢。', '短评打分': 5}
{'短评内容': '很不错，岱庙对面', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '一言难尽', '短评打分': 2}
{'短评内容': '设施挺好的，晚上也很安静，', '短评打分': 5}
{'短评内容': '还好了', '短评打分': 3}
{'短评内容': '还可以，环境不错。', '短评打分': 3}
{'短评内容': '卫生太差了 居然有死老鼠 屋里太臭了 还好给换了 收拾的时候就发现不了吗！！！建议不要去住宿', '短评打分': 2}
{'短评内容': '房间还不错，就是102有股味道。出门就是岱庙，位置优越。前台妹子很漂亮也很热情——忘留个微信号了。推荐。', '短评打分': 3}
