{'短评内容': '。好', '短评打分': 5}
{'短评内容': '？？/‘！？？？？！！！！？？？？！！黄河鬼棺过', '短评打分': 5}
{'短评内容': '啦咯啦咯啦咯来来啦啊啊啊', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '#ud83c#udf38#ud83c#udf38#ud83c#udf38#ud83c#udf38#ud83c#udf38#ud83c#udf38#ud83c#udf38#ud83c#udf38', '短评打分': 5}
{'短评内容': '很好的不错性价比最的人', '短评打分': 5}
{'短评内容': '要晒我强迫哦n哟哦哦www', '短评打分': 5}
{'短评内容': '很开心！很好服务好还会再来', '短评打分': 5}
{'短评内容': '酒店很好，.........', '短评打分': 5}
{'短评内容': '酒店很好，，，，，，，', '短评打分': 5}
{'短评内容': '房间很好     很干净', '短评打分': 5}
{'短评内容': '房间设施都很齐全    热水也很大   每次都来它家', '短评打分': 5}
{'短评内容': '很好，价格划算', '短评打分': 4}
{'短评内容': '很划算，室内环境很好，是目前住过性价比最高的', '短评打分': 4}
{'短评内容': '非常棒暖气足态度好干净卫生', '短评打分': 5}
{'短评内容': '酒店位置还算好找，步行距离可以去钟楼和回民街，公交站也不难找。服务态度很好，入住第一晚前台搞错了我定的房型，第二天反映了这情况后前台帮我免费升级了个房间。酒店卫生也很干净。', '短评打分': 4}
{'短评内容': '酒店位置还算好找，步行距离可以去钟楼和回民街，公交站也不难找。服务态度很好，入住第一晚前台搞错了我定的房型，第二天反映了这情况后前台帮我免费升级了个房间。酒店卫生也很干净。', '短评打分': 4}
