{'短评内容': '酒店很好，服务态度很满意。', '短评打分': 5}
{'短评内容': '服务热情周到', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错不错哦', '短评打分': 5}
{'短评内容': '位置不错，环境好', '短评打分': 5}
{'短评内容': '很一般的酒店，老旧', '短评打分': 3}
{'短评内容': '房间不错，就是隔声有点不好！一直住的地方，其他一如既往吧！建议重新装修一下卫生间。', '短评打分': 5}
{'短评内容': '性价比低了点...', '短评打分': 4}
{'短评内容': '挺好。。。。。。', '短评打分': 5}
{'短评内容': '小贵&hellip;&hellip;水果不错', '短评打分': 5}
{'短评内容': '不错的酒店 房间非常大', '短评打分': 5}
{'短评内容': '环境好...服务好', '短评打分': 5}
{'短评内容': '好好好.....很好', '短评打分': 5}
{'短评内容': '常住...很耐斯', '短评打分': 5}
{'短评内容': '服务、卫生都很不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间很大，算丰润比较好的酒店了。', '短评打分': 4}
{'短评内容': '还行吧，每次来丰润都住这。', '短评打分': 4}
{'短评内容': '房不错，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '总觉得差了一点什么。性价比不高，早餐没吃不评论。前台倒是很快。屋内陈设有些久了。地毯不干净。床也不够软。', '短评打分': 4}
{'短评内容': '前台服务态度很好，各方面都不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的选择。就是附近交通不是很方便', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店各方面都不错，属于经济型，性价比高', '短评打分': 5}
{'短评内容': '酒店环境不错！卫生条件也很好。', '短评打分': 3}
{'短评内容': '很好，很大气，但卫生一般。今后还会光顾这家酒店。', '短评打分': 5}
{'短评内容': '还不错，房间挺大，设施在4星和5星之间。\n\n4楼的浴室巨大，但是收费也不便宜', '短评打分': 5}
{'短评内容': '酒店环境不错，物有所值。', '短评打分': 3}
{'短评内容': '房间很大,枕头很舒适,3楼的餐厅服务员感觉像没有受过培训,与硬件设施不是很配套,有待改进.', '短评打分': 5}
{'短评内容': '酒店比较新 设施也不错 在当地是比较高档的酒店了 当然价格也不便宜', '短评打分': 5}
{'短评内容': '酒店条件很好，很干净，房间也很大设施比较齐全。服务态度很好，就是早餐品种少了些，以后应该增加一些品种并且要进一步改善。', '短评打分': 5}
{'短评内容': '价格相对比较贵。卫生情况，设施还可以，可能是丰润当地最好的酒店。\n由于只有这一家酒店，也就没有什么值得推荐不推荐的。\n如果住性价比好的酒店，只能到市区去', '短评打分': 5}
{'短评内容': '环境干净，房子较大，住的很舒服。总体感觉不错。', '短评打分': 5}
{'短评内容': '酒店还是不错的，环境应该是挺安静，服务也还可以，下次还会来 \n', '短评打分': 5}
{'短评内容': '丰润最好的酒店,刚开业不长时间,还算可以星级的装修,但是总觉得缺点什么...没办法别无选择,其他的酒店就脏得不能住了', '短评打分': 5}
{'短评内容': '非常好，下次继续住', '短评打分': 3}
{'短评内容': '居然一到晚上就停空调的酒店, 室内温度27度, 还不如睡大街呢, 服务员在大厅倒是很凉快, 价格是5星, 不过是5星桑拿的价格, 强烈不推荐.', '短评打分': 1}
{'短评内容': ' 酒店硬件不错，位置也不错', '短评打分': 3}
