{'descr': '整体感觉还不错', 'star': 4}
{'descr': '还可以吧。', 'star': 5}
{'descr': '住了四天 停电停水两天 醉了', 'star': 3}
{'descr': '挺好的，干净', 'star': 5}
{'descr': '位置很好，马甸桥的东南角。注意附近有几个7天，不要搞错。床单很干净，但窗帘很脏。有牙刷无香皂。服务不错。', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '感觉还可以就是有点吵 估计是因为旁边就是火锅城吧', 'star': 5}
{'descr': '很不错，环境也挺温馨，交通也方便', 'star': 5}
{'descr': '还可以环境也可以', 'star': 5}
{'descr': '还行吧，只是酒店位置比较差。', 'star': 5}
{'descr': '挺不错的', 'star': 5}
{'descr': '前台服务态度很好 特别热情有耐心 出行方便', 'star': 4}
{'descr': '帮朋友订的，她说很好，满意！', 'star': 5}
{'descr': '环境稍微差点，服务挺好。', 'star': 3}
{'descr': '前台服务态度很不错，房间很大，电视也很大。就是地理位置不太好，离地铁和公交站有点远', 'star': 5}
{'descr': '交通很方便，性价比较高。门口有小餐馆，味道还不错。', 'star': 4}
{'descr': '地点很好，在三环边上，去哪都不远。在一个胡同里。可能时间比较久了，社区有点老旧，且安排我的一层房间，屋里一进去墙壁都泛潮了，一股味道…空调时好时坏，胜在价格便宜', 'star': 4}
{'descr': '环境不错，空调不太好使，还好暖气还凑合，房间里必是太冷。', 'star': 5}
{'descr': '选的时候没注意啊 是地下室 Wi-Fi不好 但胜在周围环境还是挺方便的 离考点超级近 门口就是公交站 楼下就是面馆 反正就住一晚 可以啦', 'star': 4}
{'descr': '入住的房间太差了，前台服务人员和整务软件硬件都太差了，电视打不开，空调遥控器总不了，被子很薄，跟服务员要被子居然说只有十个备用的，两个人也只能给你一个被子！让你无语啊原本住四天，提前撤离换酒店了两分', 'star': 2}
