{'短评内容': '很好很好，环境很差', '短评打分': 5}
{'短评内容': '感觉一般般', '短评打分': 3}
{'短评内容': '便宜不是货', '短评打分': 3}
{'短评内容': '公司协议酒店', '短评打分': 4}
{'短评内容': '总体环境很差', '短评打分': 2}
{'短评内容': '超级实惠了，下次 再来', '短评打分': 5}
{'短评内容': '价格优惠！服务特别好', '短评打分': 5}
{'短评内容': '比别的地方便宜，挺好的', '短评打分': 5}
{'短评内容': '入住后感覚可以', '短评打分': 4}
{'短评内容': '每次到武汉都住此洒店，地理位置好，价格也适宜，工作人员办事效率高，安全有保障。就是wify差一些，改进一下就更好了。', '短评打分': 4}
{'短评内容': '每次到武汉都住此洒店，地理位置好，价格也适宜，工作人员办事效率高，安全有保障。就是wify差一些，改进一下就更好了。', '短评打分': 4}
{'短评内容': '每次到武汉都住此洒店，地理位置好，价格也适宜，工作人员办事效率高，安全有保障。就是wify差一些，改进一下就更好了。', '短评打分': 4}
{'短评内容': '每次到武汉都住此洒店，地理位置好，价格也适宜，工作人员办事效率高，安全有保障。就是wify差一些，改进一下就更好了。', '短评打分': 5}
{'短评内容': '户型小了一点 还可以。', '短评打分': 4}
{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '不错，离医院近。', '短评打分': 5}
{'短评内容': '酒店不错  挺干净的  环境也不错 服务态度也可以', '短评打分': 5}
{'短评内容': '第二次入住，环境还是很满意的，美中不足的是里面没有吹风机，不是很方便', '短评打分': 5}
{'短评内容': '好像是新开的一家，环境不错，很干净很卫生', '短评打分': 5}
{'短评内容': '酒店很新很干净，性价比高，以后还会再考虑入住的', '短评打分': 5}
{'短评内容': '酒店装修现代，地理位置优越，出行方便，服务人员热情', '短评打分': 5}
