{'短评内容': '服務员素質太差，头脑进水了', '短评打分': 4}
{'短评内容': '出差房间还可以，经济适用性', '短评打分': 5}
{'短评内容': '卫生便捷，服务周到，商务首选！', '短评打分': 5}
{'短评内容': '挺不错，黄石电力旗下的酒店', '短评打分': 5}
{'短评内容': 'Good location and good service, brand new decoration ,like it so much and will book again next time', '短评打分': 4}
{'短评内容': '性价比不错的酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '之前看好多评价写的酒店不好，没想到去了一看非常满意，酒店重新装修过，有电梯，房间也很干净，1楼有餐厅，菜做的不错，离步行街也近，打的10来分钟就到了，离江边步行也就10分钟，晚上吃了饭可以到江边散步。', '短评打分': 5}
{'短评内容': 'WIFI几乎连不上，卫生条件尚可，近芜湖路可过早', '短评打分': 5}
{'短评内容': '酒店环境还可以，性价比可以', '短评打分': 4}
{'短评内容': '还不错，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '垃圾酒店，明明住2晚，却只确认一晚，看酒店开的发票178每晚，信誉极差！！！！', '短评打分': 1}
{'短评内容': '总体来说还行', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '交通方便，卫生，洗澡水好，牙具尚可。无茶叶。', '短评打分': 3}
