{'descr': '好还行', 'star': 5}
{'descr': '', 'star': 1}
{'descr': '不错不错，性价比很高！很满意。', 'star': 5}
{'descr': '附近修路，交通不便，不过价格确实很优惠', 'star': 5}
{'descr': '还可以  不错', 'star': 5}
{'descr': '房间安静，暖气很足，服务周到。', 'star': 5}
{'descr': '来太原出差都住这里，太钢更方便，房间冬天很暖和。', 'star': 5}
{'descr': '挺不错酒店，每次来太钢出差都住这里', 'star': 5}
{'descr': '客服电话打不通', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '经常来住，方便，环境也还可以的！服务员态度不错', 'star': 4}
{'descr': '反正不是我住，进去看了下还可以', 'star': 4}
{'descr': '还行吧，就是一开门，对面就是卫生间?', 'star': 5}
{'descr': '帮朋友订的，朋友说非常不错', 'star': 5}
{'descr': '酒店挺不错的，服务员态度也非常好，早饭也可以', 'star': 5}
{'descr': '早饭不太好。价格在当地算偏贵的。原来的名字是二招，跟出租司机说钢新商务酒店都没人知道', 'star': 1}
{'descr': '很干净，后院停车也很方便，就是早餐不怎样。', 'star': 5}
{'descr': '干净整洁，早饭不错，比较安静，价位也可以的', 'star': 5}
{'descr': '酒店是新装修的，房间很干净，尤其是毛巾都是雪白的，很少见到这样干净的毛巾，毕竟经济型酒店能做到这样的太少了，房间是液晶大电视，看着挺爽的，网速也不错，厕所洗澡大喷头，挺过瘾，不过房间太热了，温度没有办法调整', 'star': 5}
{'descr': '是尖草坪市场附近算不错的酒店了，房间不错，就是整个酒店都在重新装修，味道大了点，还有餐厅都关门了不营业。另外，早餐非常差，需要改进。', 'star': 5}
{'descr': '   这家酒店位置虽然偏远了一些但是环境还是不错，酒店的服务也不错。前台服务员非常认真负责，也非常的热情周到！酒店的卫生条件也不错！住了两天很是满意，下次去太原还会选择此酒店！', 'star': 5}
{'descr': '新装修过，很不错的房间，而且服务周到，为我们免费升级了房间，下次会继续入住', 'star': 5}
{'descr': '价格不贵，服务卫生很好，还能提供早餐，还是值得一住。', 'star': 5}
{'descr': '酒店离太钢挺近，到那办事挺方便，周边交通也还好，内部环境还不错，价格也挺合理的。', 'star': 5}
{'descr': '服务挺好，设施基本齐全，性价比挺好。', 'star': 5}
{'descr': '环境还好，挺干净也挺安静，晚上休息的还不错，价格也不贵，下次还会光顾。', 'star': 5}
{'descr': '早餐简单了点，但味道不错，卫生很好，服务还算周到，价格挺合理，整体感觉还好。', 'star': 5}
{'descr': '酒店住过几次，服务态度很好，设计基本齐全，总体感觉不错。', 'star': 3}
{'descr': '房间不大，布置挺温馨，基本设施都有，还能上网，感觉还不错。', 'star': 5}
{'descr': '位置有点偏，但交通还算便利，服务上很到位，有宽带能上网，使用挺方便的。', 'star': 3}
{'descr': '设施挺齐全，电视空调都有，就是样式老了点，但质量还好。服务上很好，服务的很周到。', 'star': 3}
{'descr': '这的停车场挺大，停车挺方便，房间里打扫的很干净，设施还好，服务态度挺好，感觉挺亲切的。', 'star': 3}
