{'短评内容': '服务很好 卫生打扫及时', '短评打分': 5}
{'短评内容': '丽阳以前住过感觉很好，现在也就如家水准', '短评打分': 3}
{'短评内容': '位置不错  内部环境太差  房间内地毯脏的看不出颜色  卫生间返臭 早餐啥也没有  下次不会再住了', '短评打分': 3}
{'短评内容': '服务态度一般，服务水平质量也一般，今后不会去了。，性价比不高，不建议大家购买。。', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 4}
{'短评内容': '从凤凰房产局高高低低的大哥', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还行吧，朋友说马马虎虎', '短评打分': 5}
{'短评内容': '房间于豪华间有很大差距。不知道为什么。', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '最差之最', '短评打分': 1}
{'短评内容': '酒店不错，设备很好，房间宽敞，就是网速非常慢啊', '短评打分': 3}
{'短评内容': '交通便捷，周边环境不错。房间挺大，干净卫生，服务热情。', '短评打分': 5}
{'短评内容': '位置比较好，但服务很差。服务员态度特别不好。', '短评打分': 1}
{'短评内容': '价高。', '短评打分': 3}
{'短评内容': '第二次入住\n13楼还好（设施和卫生）\n不过服务态度真的一般，好像是国营的招待所。', '短评打分': 5}
{'短评内容': '本来订了两间房，自己也要住的，但临时有事没去成，同事回来后说条件还可以，主要是离办事的地方很近，非常方便。', '短评打分': 5}
{'短评内容': '总体还好！\n八楼出电梯的铅墙壁有破损\n房间里床头灯不亮\n电视效果不好', '短评打分': 5}
{'短评内容': '酒店位置不错，比邻北陵和乐购。但单间设备一般，服务也不理想！', '短评打分': 1}
{'短评内容': '环境很好  服务人员态度也很好   就是把山的屋子冬天住起来有一些冷', '短评打分': 5}
{'短评内容': '硬件设施很差，电视信号不好，网速不如蜗牛', '短评打分': 3}
{'短评内容': '房间挺大的，洗澡不舒服，水温不稳定，水太小，很不爽，楼下的餐厅太黑，什么都要收费，酒店就在辽宁大厦的正对面，吃饭都比较方便', '短评打分': 5}
{'短评内容': '住宿环境很好！早饭有待提高！', '短评打分': 3}
{'短评内容': '优点是位置很好、交通方便，房价还算适中。不足之处是：前台服务质量极差，不像是服务人员、像主人，没有一点服务意识，答应过的事还会和客人争半小时，办事死板，还有就是餐厅价格太高。', '短评打分': 1}
{'短评内容': '打扫房间太慢，打扫的人态度也很不好。退房时查房也慢，不催根本不动！无奈！', '短评打分': 1}
{'短评内容': '这个酒店物超所值，不到300块的价位，黄金地段，装修豪华，还有免费早餐，值得。但是美中不足就是有的设备不太好用，比如床头灯。', '短评打分': 5}
{'短评内容': '交通方便,房间较大,饮食可口,在沈阳相对价格偏高,百十米内有特色夜市烧烤,更有公园可逛和南风剧院可看二人转。总体评价还行。', '短评打分': 3}
{'短评内容': '酒店位置很好，房间也很大很安静，信价比很高！', '短评打分': 5}
{'短评内容': '酒店房间干净，设施也新，早餐比预想的丰富，很满意，下次还住那', '短评打分': 3}
{'短评内容': '很方便很好很干净，服务也不错。推荐给大家。在辽宁宾馆对面。', '短评打分': 5}
{'短评内容': '说离沈阳师范大学1.5公里，实际上近10公里', '短评打分': 1}
{'短评内容': '不错，，不错，，还不错，，下回能来，就是有点小！~', '短评打分': 5}
{'短评内容': '非常不满意。大年初一，全家老少住在该酒店，本来酒店确定的含早餐，结果大年初一直到九点半还没有厨师，让全家饿肚子。后来方知是酒店方面安排有误，让老人、孩子过个饿肚子的新年。', '短评打分': 1}
{'短评内容': '酒店太冷，网络太慢，服务还可以，但早餐差点。\n希望以后能够改进，我去沈阳还会住那里。\n但会议太多，老住不上。 ', '短评打分': 5}
{'短评内容': '住宿条件还可以（单人间），但服务不热情，早餐品种有点少。', '短评打分': 1}
{'短评内容': '房间很好，性价比高，早餐也非常不错，值得推荐', '短评打分': 5}
{'短评内容': '＋', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间地毯稍脏些，其余的还算不错，洗浴间里免费的洗浴用品都有，值得推荐。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '建议酒店更换毛巾等洗浴用品，太陈旧了，同时检查一下淋雨花洒喷头，喷头的出水太小。', '短评打分': 5}
{'短评内容': '房屋内烟味很重,特别第二天毛衣上全是烟臭味.\r\n', '短评打分': 1}
{'短评内容': '不错，但还需努力。', '短评打分': 3}
{'短评内容': '不错，但设施有待改进。服务还可以。', '短评打分': 5}
{'短评内容': '每次出差都住这里，一直是我的最佳的选择。', '短评打分': 5}
{'短评内容': '位置不错，不过给的房屋比较差把山，服务不是很好', '短评打分': 5}
{'短评内容': '就是晚上有点你冷。早餐品种少点', '短评打分': 5}
{'短评内容': '环境不错，服务态度也可以', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,而且很符合酒店的价位,位置也很好,离我办事的地方很近,很方便.', '短评打分': 3}
{'短评内容': '早餐有待改善，而且早餐应该便宜些', '短评打分': 5}
{'短评内容': '酒店的位置是挺好，设施也不错，但是硬件条件好，服务不行呀，他们那个门卡打不开门，楼层没有电话也没有服务员，只能我自己来回跑，跑了一趟还不解决问题，真是太麻烦了。', '短评打分': 1}
