{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '环境特别差，估计卫生还不如招待所那，里面还特别臭，要不是为了离考试近点，就是50块钱也不住，前台服务员态度也不怎么好，打电话让留房间口气还特别冲', '短评打分': 3}
{'短评内容': '很满意，经济实惠，独立卫生间', '短评打分': 3}
{'短评内容': '挺好，暖气挺足！挺喜欢的！不过距离宁夏大学有点远', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '基本干净,就是淋浴喷头不大好用,老板服务员人都很好！', '短评打分': 3}
{'短评内容': '还好，价格便宜，房间比较干净，在金波南街上，距离北京路比较近，似乎17，105,106公交可以再附近下车。', '短评打分': 5}
{'短评内容': '挺好  就是  洗手间透明度有点大', '短评打分': 3}
{'短评内容': '挺不错的，只是订的是带宽带的房间，实际却没有。因只住一天，也就没有“较真儿”了。', '短评打分': 5}
{'短评内容': '预定酒店时含早餐，入住时资讯前台说，早餐让我们随时打电话通知前台，他们会把早餐送到房间里，我们还挺高兴。但是早上7点我们打电话通知前台，前台说没有早餐，还没有去买，要7点半以后再说，不能保证能买到。由于要赶路，我们只有饿着出发了。既然不能保证有早餐，就不应该承诺提供早餐。前台的服务态度也不好。', '短评打分': 1}
{'短评内容': '所有服务人员都相当热情，我是单人间，床很大，一般该有的都有了。只是没有窗户', '短评打分': 5}
{'短评内容': '太简陋了\n我住的房间，苍蝇很多，\n建议大家不要去', '短评打分': 1}
{'短评内容': '性价比很高，对的起这个价格。地理位置好，去西夏王陵很方便。去火车站，夜市都很方便。前台服务很好，不过房卡需要每天续，很不方便。还是很赞的', '短评打分': 5}
{'短评内容': '性价比很高，对的起这个价格。地理位置好，去西夏王陵很方便。去火车站，夜市都很方便。', '短评打分': 5}
{'短评内容': '前台服务还可以，房间的门卡有些问题，有时候打的开，有时候不能，房间很小，而且通风比较差，房间有股味道，以这个价位来说，不值', '短评打分': 1}
{'短评内容': '洗澡水那叫个小！没有保洁员进行每日的卫生打扫。', '短评打分': 1}
{'短评内容': '早上一点钟到，居然按两天房费收，一点也不客气，虽然我不计较，但心理还是不爽的', '短评打分': 1}
{'短评内容': '环境不错 服务也很好 交通也挺方便 一会去看看周边有什么好吃的', '短评打分': 5}
{'短评内容': '房间挺干净的，服务热情。但就是吃饭不方便。总体还OK了。', '短评打分': 3}
{'短评内容': '酒店性价比高,服务好.卫生干净,而且离火车站也不太远.', '短评打分': 5}
{'短评内容': '性价比还不错。', '短评打分': 3}
