{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '总体不错，进屋后发现有垃圾是使用过TT的袋子，着实让我尴尬了一把，希望扫地注意死角。', '短评打分': 3}
{'短评内容': '环境不错，舒适便捷', '短评打分': 5}
{'短评内容': '离高铁站近 方便', '短评打分': 5}
{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '交通方便，地铁口。', '短评打分': 5}
{'短评内容': '还不错，服务态度良好，离南京南站挺近的，也比较安静。', '短评打分': 5}
{'短评内容': '感觉很不错，东西很满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 2}
{'短评内容': '价格优惠价值不菲，网络订购方式方便', '短评打分': 5}
{'短评内容': '给别人定的，没问具体情况，希望住宿感觉还好', '短评打分': 5}
{'短评内容': '房间舒适，环境还好，交通方便！有地铁。。出门就是南京南站。。', '短评打分': 5}
{'短评内容': '地铁边上，据南站还有一站的距离。', '短评打分': 5}
{'短评内容': '离南站很近，去市里远些，好在有地铁。', '短评打分': 5}
{'短评内容': '凌晨2点才到，7点又走了赶火车。感觉还可以。京东有优惠券，比别的地方便宜点。', '短评打分': 5}
{'短评内容': '还行 就是有点吵', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间还算干净，离南京南站不远，挺方便的。', '短评打分': 5}
{'短评内容': '整体还行，靠近南京南站，比较方便 ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '离南站很近，其他一般', '短评打分': 3}
{'短评内容': '方便快捷。', '短评打分': 5}
{'短评内容': '忘记评价了，现在补上，酒店设施，卫生总体不错，跟前饭馆多，吃饭方便，离火车站很近，走路10分钟就到了。', '短评打分': 5}
{'短评内容': '还不错，离火车站很近，很方便', '短评打分': 5}
{'短评内容': '还不错，交通便利。', '短评打分': 5}
{'短评内容': '离南站近，方便O', '短评打分': 3}
{'短评内容': '服务好，位置不错，去哪里都方便', '短评打分': 5}
{'短评内容': '第一次没摸太清路线，其他没什么了', '短评打分': 4}
{'短评内容': '在京东订方便又快捷', '短评打分': 5}
{'短评内容': '住着还不错', '短评打分': 5}
{'短评内容': '就在南京火车站南旁边，出站就可以看到它。酒店周边环境不是太好。', '短评打分': 5}
