{'短评内容': '房间设备差一点.', '短评打分': 3}
{'短评内容': '超值，卫生、环境一流', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '还可以的吖', '短评打分': 4}
{'短评内容': '差评！差评！差评！晚上风大雨大的尽然都没服务员带路，服务简直太烂，房间脏乱差，床边硬，还不如快捷酒店，整个酒店一片荒凉，像鬼屋，早餐看到就不想吃了。', '短评打分': 1}
{'短评内容': '环境不赖   可以推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常OK的一次住宿体验。', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是服务一般，别墅区房间还可以，普通房间就很差，房子的价格也比较贵，如果是一般旅游就不要去住了', '短评打分': 4}
{'短评内容': '房间不错，温泉就～～～，见仁见智啦，总体还好吧', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '位置比较偏远，设施有点新了，居家式酒店，服务非常一般，卫生吗麻麻地，性价比一般，总体来讲，这各酒店是不会推荐的！', '短评打分': 3}
{'短评内容': '为什么酒店迟迟不确认到住，使得反现迟迟确认不了？', '短评打分': 4}
{'短评内容': '酒店位置不错，设施还可以，服务一般般，因为那天我订的是要带麻将的房间，我们看它的图片介绍豪华山景房的图片也是带麻将台的，所以我们订了一间，后来去到酒店前台询问，才知道是不带的，只有豪华单 人套房才有，我们要求换，酒店说房可以换但是钱不可以退，我觉得真的不合理，明明就是他们酒店的图片骗了我，还不给我退款，后来我打电话到了携程，最后我们协商好了给我我一个麻将房，把要退的房间差额也退还了给我！回到了房间', '短评打分': 4}
