{'短评内容': '哦', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间很大，干净卫生。', '短评打分': 5}
{'短评内容': '无早餐无停车场', '短评打分': 2}
{'短评内容': '房间还过得去，但服务态度不行', '短评打分': 4}
{'短评内容': '相对来说还是有性价', '短评打分': 5}
{'短评内容': '还是不错的，离办事的地方近，楼下有好多吃的', '短评打分': 5}
{'短评内容': '酒店卫生程度一般', '短评打分': 4}
{'短评内容': '酒店服务一般，就是一般的公寓', '短评打分': 4}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '环境很不错，就是不够干净', '短评打分': 4}
{'短评内容': '代人预订，反馈后得知出行比较方便，设施不错', '短评打分': 4}
{'短评内容': '地理位置方便，商务中心附近，就是周边吃的不多', '短评打分': 4}
{'短评内容': '交通方便，旁边吃饭方便，设施简单', '短评打分': 3}
{'短评内容': '酒店大堂在一楼，房间在15楼，无早餐，不过地下一层广场有几家面馆味道还不错啦。房间一般不提了，最感觉不好的是停车问题，地下2层虽有大车库，但6元一小时，通宵36元，感觉真心贵啊！据说这是大楼物业收的，与酒店无关。', '短评打分': 4}
