{'短评内容': '服务和环境都还行', '短评打分': 3}
{'短评内容': '还好.就在省离医院旁边.一般对价格敏感的散客可以住.', '短评打分': 5}
{'短评内容': '给朋友预定的,反映还好,适合对价格敏感的客人.', '短评打分': 5}
{'短评内容': '还不错，很适合长期出差的朋友居住，就是交通差点。', '短评打分': 5}
{'短评内容': '离安徽省立医院很近，来这里办事的估计都住这吧，交通方便！', '短评打分': 5}
{'短评内容': '还可以 房间有点小  卫生还有待于进一步改进', '短评打分': 5}
{'短评内容': '酒店经济实惠，卫生干净。唯一缺点是打车比较困难，建议有车接送的客人去住。前台的女孩子很漂亮哦', '短评打分': 5}
{'短评内容': '酒店房间很干净，电视是液晶的，网速也很快，值得', '短评打分': 3}
{'短评内容': '很好，非常好，很好，非常好。哈哈，20字差不多了。', '短评打分': 5}
{'短评内容': '很普通的快捷酒店，管理水平可以再提高，汉庭、如家就是这么过来的。', '短评打分': 5}
{'短评内容': '干净整洁，还不错，最重要的是离合肥省立医院很近，这次就是丈母娘住院，老婆去照顾特意要求近，而且房间总体还蛮好，性价比很高，推荐一个', '短评打分': 5}
{'短评内容': '地理位置不错在市区办事比较方便，只可惜没有停车场，卫生也要加把油哦', '短评打分': 5}
{'短评内容': '还行吧 经济型的商务酒店 交通还算方便 就是周围环境不是很好 房间倒是不错', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '环境一般价格也可以接受因为是学生和同学开房一起参加会计考试的。就是没有吹风机这一点不是很好而且还不可以刷卡害的我跑到银行去取钱。', '短评打分': 5}
{'短评内容': '还不错啊 但是位置有点偏僻 而且住的那间屋子马桶坏掉了 其他还好 早餐不错', '短评打分': 5}
{'短评内容': '一般吧.隔音效果很差', '短评打分': 3}
{'短评内容': '设施相当差房间也冷的要命，位置也不怎么样，服务也很不好而且当时我只是在酒店里面用了一袋很普通的茶叶结账的时候就收我10块钱，价格也不合适，反正是不好。', '短评打分': 1}
{'短评内容': '离步行街很近，装潢也不错，这个价钱很值，环境不错，就是早餐品种很少', '短评打分': 5}
{'短评内容': '还行，浴室让人觉得有点不太爽，而且是全透明的，倒是适合夫妻或者情侣。', '短评打分': 3}
