{'短评内容': '挺好的，干净，就是房间有点小', '短评打分': 5}
{'短评内容': '干净方便，交通便捷，京东订房优惠快捷。', '短评打分': 5}
{'短评内容': '非常不错。', '短评打分': 5}
{'短评内容': '酒店负责人和工作人员服务态度非常好，看我一个女生入住，暖心升级了房间，赞一个我下次来广州还会继续入住此酒店，很好很满意！也会推荐我的朋友', '短评打分': 5}
{'短评内容': '原定房间超大怪味，说了半天加92元给换了一间有个对外小窗的。然后早上5点多就很吵。这个价位真心不值。', '短评打分': 4}
{'短评内容': '房间没有窗户，胡乱过一晚，一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不是很可以', '短评打分': 5}
{'短评内容': '发货快', '短评打分': 5}
{'短评内容': '设施什么的还好，就是感觉面积不太大，不过市区嘛基本也就都这样了。', '短评打分': 5}
{'短评内容': '好，非常好，希望以后多点这样的活动，支持京东，送货快，服务好，支持！强烈支持！！！！\n\n喜欢！好评！五星好评！', '短评打分': 5}
{'短评内容': '还行吧，还行吧', '短评打分': 1}
{'短评内容': '路段不错，环境很舒适，住了好几天了，经济实惠。', '短评打分': 5}
{'短评内容': '环境不错，很舒服哦，周围安静，服务周到。', '短评打分': 5}
{'短评内容': '房间不错，环境很舒适，周围安静。经济实惠。', '短评打分': 5}
{'短评内容': '非常不错的酒店。。。', '短评打分': 5}
{'短评内容': '很一般，价格也贵', '短评打分': 4}
{'短评内容': '在广交会期间的话，价格已经很给力了。 不过不知道是不是梅雨天气原因，被子盖了痒。。。失眠了大半夜，第二天还要考试。', '短评打分': 4}
{'短评内容': '环境优美，服务态度真的很好，卫生干净，而且很方便！', '短评打分': 5}
{'短评内容': '挺干净卫生，环境优雅，楼下就是公园，住着很舒服', '短评打分': 5}
{'短评内容': '地理位置方便，但房间有点闷', '短评打分': 4}
{'短评内容': '考试订的，交通方便，楼下有面包店和便利店～性价比还算高', '短评打分': 5}
{'短评内容': '感觉挺好的', '短评打分': 4}
{'短评内容': '很方便，下次出差再来住', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '环境不错，很安静', '短评打分': 5}
