{'短评内容': '早餐一般，停车方便', '短评打分': 3}
{'短评内容': '酒店位置还可以距离海边很近，我们住的时候不给打空调，窗户还有点漏风', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好的。前台服务态度也很好', '短评打分': 5}
{'短评内容': '环境安静，设施齐全', '短评打分': 5}
{'短评内容': '宾馆干净卫生，服务也很贴心，知道我们带着孩子忙前忙后的给我们添加被褥和生活用品', '短评打分': 5}
{'短评内容': '酒店服务不错  离东山浴场只有2公里  价格便宜 有来玩的可以来这里', '短评打分': 5}
{'短评内容': '价格不算贵，就是设施旧点。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '安静，干净', '短评打分': 4}
{'短评内容': '国企改革任重道远', '短评打分': 4}
{'短评内容': '国营的，港务局', '短评打分': 3}
{'短评内容': 'B楼有些旧，其它还好。', '短评打分': 4}
{'短评内容': '环境挺好，交通便利，设施旧了点', '短评打分': 4}
{'短评内容': '还可以，只能过得去，希望下次不是这里的住宿', '短评打分': 4}
{'短评内容': '酒店环境很好，安静餐饮也不错，服务好', '短评打分': 3}
{'短评内容': '很好，房间很安静，早餐不错，唯一不足之处是晚上11点钟还要查房', '短评打分': 3}
