{'短评内容': '新桃园酒店，服务、配套和性价比超高！', '短评打分': 5}
{'短评内容': '设备简陋，陈旧，床很硬，早餐不能再难吃了。这次的入住真的不满意', '短评打分': 3}
{'短评内容': '去深圳大学出差的话可以考虑住这', '短评打分': 4}
{'短评内容': '早餐还不错，种类比较多', '短评打分': 5}
{'短评内容': '服务还行，就是酒店太旧了', '短评打分': 4}
{'短评内容': '酒店有年头了。房间大，离深圳大学近。早餐实在太简单了，真的非常一般，房间里有点味，水蛮大的………………', '短评打分': 5}
{'短评内容': '交通方便环境很好，非常值得去入住。早餐一般。', '短评打分': 5}
{'短评内容': '还不错，挺好的酒店。我喜欢', '短评打分': 5}
{'短评内容': '还不错，挺好的酒店。我喜欢', '短评打分': 5}
{'短评内容': '不错的一次体验，确认速度很快，价格也地道，下次就选择这里了！！', '短评打分': 5}
{'短评内容': '酒店不错，交通很方便，出门就有地铁。', '短评打分': 5}
{'短评内容': '地段还可以，交通方便。走的时候服务员非说把他们地毯弄脏了，要赔钱，我们除了晚上睡觉，基本没在酒店，也没带吃的到房间。住进去的时候我也没在意你地毯哪个角落里有没有脏哪？！难道以后住酒店我还得仔细的房间里各个角落里检查一下卫生，先说明不是我弄脏的才行？！还好最后把他们经理叫过来没赔钱，这么奇葩我也是服了！', '短评打分': 4}
{'短评内容': '帮别人订的，交通确实比较方便。不过据说早餐一般，其他的都还好。', '短评打分': 5}
{'短评内容': '帮别人预定的，据说还不错。', '短评打分': 5}
{'短评内容': '酒店有点老，地理位置不错，就在地铁口，去哪里都方便，房间隔音真是不敢恭维，我住的8楼，酒店有一层是KTV，晚上那个鬼哭狼嚎呀！白天挺疲惫的，晚上11点上床睡觉，就听楼下一首一首的嚎，搞到2点才睡着。除了这一点外，其他还是不错的，建议如果有点神经衰弱的人就要谨慎选择了', '短评打分': 5}
{'短评内容': '很久之前住过一次新桃园，觉得很豪华，大气，这次来深圳就毫不犹豫选择这家，入住后觉得比原来破败不少，房间的木制品已经很旧，能看见发潮的纹理，所以有少少失望，不过服务还是不错的', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '还挺好的', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '十年來，多次住過此酒店，原本以為位居地鐵站旁的地利，會促使它加速提昇至更高的星級水平，不料，卻發覺其服務品質每況愈下。前台服務員的接待態度冷漠，一般服務員也少了過去幾年慣於聽到的親切招呼與禮貌回應。酒店的地毯似乎多年來都不曾清理過似的，自助早餐的盤子要找到沒有缺角的也很困難，難道經營者不知道這些會隱藏多少病菌? 基於多年的入住感情，真心希望酒店能盡速提升水平，恢復以往熱忱與溫馨的服務。', '短评打分': 2}
{'短评内容': 'WIFI速度是有点慢，但不错的酒店。', '短评打分': 4}
{'短评内容': 'WIFI速度是有点慢，但不错的酒店。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店还不错，设施还可以，挺方便，交通方便，就在地铁边上\n', '短评打分': 5}
{'短评内容': '总体感觉不错的，最近同事出差都住这里，安静方便，出门就是地铁A口。', '短评打分': 5}
{'短评内容': '大堂看上去比较旧，房间好多了。空调很冷，似乎无法调温。没有浴帘水压又大溅得满浴室都是，沐浴洗头膏也不分开。', '短评打分': 5}
{'短评内容': '交通便利。不过其他真的太对不起昂贵的价格了。。。', '短评打分': 1}
{'短评内容': '符合四星标准，房间宽大，水压超大，淋浴很舒服，想起在美国的日子，早餐尚好，缺想吃的培根', '短评打分': 5}
{'短评内容': ' 还不错，床不错，很规矩的服务，没什么大问题', '短评打分': 3}
{'短评内容': '酒店位置不错，门口就是地铁站作为商务出差，这家酒店还算不错的，门口就是地铁口，交通便利没的说，周围有超市，有医院，还有公园，感觉性价比还算可以的。', '短评打分': 5}
{'短评内容': '装修老，早餐品种少，位置好，服务好，总体还不错。', '短评打分': 5}
{'短评内容': '不错，位置优势，出门就是地铁站，购物也方便', '短评打分': 5}
{'短评内容': '总店设施很旧，不怎么样。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店位置不错，交通方便。硬件设施也可以，美中不足的是停车场有点拥挤（可能是酒店就餐太火了吧）哦！淋浴设施也不太尽人意---手提式花洒太不好用了。\n    对于外出办事的朋友来讲不太挑剔的你可以选择来此入住！！', '短评打分': 5}
{'短评内容': '设备比较陈旧，还在装修，噪音大。价格偏高，早餐单一，性价比差。', '短评打分': 1}
{'短评内容': '位置不错，交通方便，性价比还好，房间干净，早点丰富', '短评打分': 5}
