{'短评内容': '周边设施齐全。', '短评打分': 5}
{'短评内容': '不错。。。。。', '短评打分': 5}
{'短评内容': '毕竟开了这么多年，设施就这样', '短评打分': 4}
{'短评内容': '交通便利，位置很好，周边都是美食', '短评打分': 4}
{'短评内容': '酒店交通方便，卫生状况一般，设施较旧，早餐简单。价格合理，有专用的停止小院，非常适合自驾旅行住宿。有机会，还会选择入住。', '短评打分': 4}
{'短评内容': '房间设施确实该换了，电视机老式的，雪花点特多，大冬天空调吹冷风，坐便器内一层黄色的污垢，看着心塞。但酒店位置不错，服务态度还行。', '短评打分': 4}
{'短评内容': '可以打麻将的哦', '短评打分': 5}
{'短评内容': '酒店有点老，内部有点旧', '短评打分': 4}
{'短评内容': '位置处于老城区。但是设施太老了。', '短评打分': 4}
{'短评内容': '帮朋友常定的一家酒店，交通方便', '短评打分': 4}
{'短评内容': '房间大，环境还不错，刚进房间有点味道', '短评打分': 3}
{'短评内容': '房间光线太暗了，卫生做的不够好，家具太老了，该装修了！', '短评打分': 3}
{'短评内容': '房间老旧，有股气味，其它尚好！', '短评打分': 3}
{'短评内容': '很好很干净，实惠，下次还住，不过不住靠广场这边', '短评打分': 3}
{'短评内容': '房间很干净 实惠，就是旁边有个广场，10点以前不太安静，跳广场舞的多', '短评打分': 3}
{'短评内容': '服务不好，不讲诚信，定了二家房，只算我一间', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '服务一般般，房间太差了。', '短评打分': 3}
{'短评内容': '隔音效果差', '短评打分': 3}
{'短评内容': '优点：在市中心，是三星级，价格合适，房间大小合适。\n缺点：房间的毛巾被套枕巾都很脏，换了依旧很脏，房间有点旧。', '短评打分': 5}
{'短评内容': '卫生一般，服务不行。明明预订说没有，差点住不成。', '短评打分': 3}
{'短评内容': '整体感觉：旧\n早餐还算丰富\n服务一般般的', '短评打分': 5}
{'短评内容': '酒店地理位置距离新余市政府，人民广场很近，但距离火车站不近，不过新余市中心不大，起步价就可以到火车站；酒店设施比较陈旧，但环境等还可以，价格也相对合理。最好的就是，早餐非常丰富；', '短评打分': 5}
{'短评内容': '酒店很干净 值得入住 设施比较好 朋友都去住吧', '短评打分': 5}
{'短评内容': '定了有网线的房间，结果上不了网。后来换了间有电脑的房间。态度还算满意。', '短评打分': 5}
{'短评内容': '酒店老旧，隔音效果极差，可以清晰听见隔壁房间讲话声。', '短评打分': 3}
{'短评内容': '整体还可以~设施应该多多加强~有点陈旧~', '短评打分': 5}
{'短评内容': '总体来说都还可以~就是东西太陈旧了~房间该装修了~', '短评打分': 5}
{'短评内容': '去了江西新余好几次，每次都住这个酒店，很舒服，而且酒店的小商品很划算，适合商务出差的人士', '短评打分': 5}
{'短评内容': '卫生、硬件设施一般，早餐种类有点少，总体感觉还行！', '短评打分': 5}
{'短评内容': '价位低，可设施相当简陋，连房内的普通矿泉水也卖钱！', '短评打分': 3}
{'短评内容': '159包双早还是蛮值得，有个床上的味道不好闻，而且还有毛发，感觉卫生方面还要加强。', '短评打分': 5}
{'短评内容': '酒店位置及周围环境很好，对面是人民广场，附近还有北湖公园，唯一不好的是酒店的毛巾、浴巾已经很陈旧了，颜色已经发黑了，让人不敢碰！不知道酒店一般是多长时间才更好新毛巾和浴巾之类的用品。', '短评打分': 5}
{'短评内容': '酒店的服务质量蛮好的，酒店的早餐很丰富，味道也很地道，特别是江西米粉汤，就是我住的房间下水不好，洗澡水漏不下去积水。希望酒店能尽快改善设色！！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '该酒店地理位置不错，在人民广场旁，附近有超市步步高城北店，利口福饭店，公交车站林立，方便周到，新余市民经常在广场唱歌跳舞，锻炼身体', '短评打分': 5}
{'短评内容': '总体感觉不错 周围也挺方便 对面是个广场 还有个大型超市  。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店比较老，房屋设施比较旧，可能因为装修的原因给人感觉不太干净，服务员态度一般，叫醒服务竟然也忘了，幸亏我醒得早，要不后面的行程全挂了！', '短评打分': 1}
{'短评内容': '还可以，，，下次继续入住、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '感觉还行，算是比较便宜的了，就是感觉房间地毯不是特别感觉，房间空气也不是特别好', '短评打分': 5}
{'短评内容': '比较经济实惠，房间还比较大，但设施相对比较旧，毛巾等物品如果换新后会更好。', '短评打分': 5}
{'短评内容': '重新装修后，走道及房间看起来清爽多了。早餐如果有水果的话会更好～', '短评打分': 5}
{'短评内容': '可以入住，但实在没有什么明显特色的酒店。', '短评打分': 5}
{'短评内容': '设备陈旧,毛巾显得有点脏,早餐倒是很不错!', '短评打分': 1}
{'短评内容': '很差很差很差，设施陈旧，早餐没什么东西可吃。倒是边上邮局边上有个饭店性价比很高。名字不记得了，看起来很豪华就是的了', '短评打分': 1}
{'短评内容': '经济实惠，交通方便，就是设备设施有点老了，重新装修一下就更好了', '短评打分': 5}
{'短评内容': '＋服务还可以', '短评打分': 3}
{'短评内容': '还可以，就是房间设施有点旧，价格有点不太合适。', '短评打分': 5}
{'短评内容': '我已入住该酒店，条件一般，连电脑配置都没有，与网上查看的信息有误，以后预订可要考滤、、；、、？', '短评打分': 3}
{'短评内容': '服务真的很好，房间隔间不好，早餐有待加强！', '短评打分': 5}
{'短评内容': '性价比较高，满意！车站打的过来打表七块二！近。下次出差还选这里。', '短评打分': 3}
{'短评内容': '从酒店内部设施可以看得出来，该酒店当年就曾经辉煌过，能算上是当年酒店中的凤凰，现在稍显旧了，位置不错，交通便利，附近就是人民广场，成功入住能返现金账户10元/晚。房间还有电脑，宽带速度很快，顺便在网上订了机票，酒店早餐有些简单了，希望改进，总体来说还行。', '短评打分': 5}
{'短评内容': '交通方便，装修有点旧了，每层楼房间比较多，但电梯太少太慢', '短评打分': 5}
{'短评内容': '还不错吧，价格稍嫌高了点，房间太不隔音，睡到半夜被隔壁的吵醒，其他还过得去', '短评打分': 5}
{'短评内容': '帮家人预订的酒店，不知道这家酒店没空调，抵店后知道经协调换了房间，马马虎虎还可以毕竟不大的城市要求别太高即可。', '短评打分': 3}
{'短评内容': '酒店还不错，环境较好，比较干净，下次来还可以住在这里', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '整体环境不错，房间卫生不错，早餐不错，性价比不错', '短评打分': 5}
{'短评内容': '，还好', '短评打分': 3}
{'短评内容': '前台服务挺好，办事效率挺快，早餐挺丰盛，口味也不错，房间干净卫生，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务人员能做到随叫随到，态度也很好，设施方面有些陈旧，但还算齐全，卫生很到位，总体感觉还是挺舒适。', '短评打分': 3}
