{'短评内容': '上到房间都不想住了，有点旧', '短评打分': 4}
{'短评内容': '吵的要命。。结果吃晚饭就退了。。找别家。，太吵了。。隔壁装修吧可能。。窗户关不起来。空调声音也炒的要命。，', '短评打分': 3}
{'短评内容': '早晨，太阳从东方升起来了，柔和的光线照耀在窗台上，波光粼粼，远远望去', '短评打分': 5}
{'短评内容': '有停车场 酒店位置离市区也不是很远 总的来说还是蛮不错的 ', '短评打分': 5}
{'短评内容': '酒店比较破旧，地板看起来脏兮兮的。前台美女服务态度很好，就是那个店长态度不行，周边酒店很多，不建议住这间', '短评打分': 3}
{'短评内容': '酒店设施还是比较旧了，价格便宜。性价比还可以', '短评打分': 4}
{'短评内容': '酒店比较老了，不过价格确实挺便宜的', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '房间不规整，空调正对人，住的不舒服', '短评打分': 4}
{'短评内容': '实惠！环境还可以', '短评打分': 5}
{'短评内容': '走廊有气味', '短评打分': 4}
{'短评内容': '再次入住，值得信赖！', '短评打分': 3}
{'短评内容': '还行，就是小了点', '短评打分': 5}
{'短评内容': '出差住了好多好多天，都是住这里，感觉还不错吧', '短评打分': 4}
{'短评内容': '还不错吧，出差一直住这里好多好多天了！', '短评打分': 4}
