{'短评内容': '早餐不错，环境很好。', '短评打分': 4}
{'短评内容': '没有花钱的不是', '短评打分': 5}
{'短评内容': '没有花钱的不是', '短评打分': 5}
{'短评内容': '好的不得了', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '不错，性价比高，主要是价格?', '短评打分': 5}
{'短评内容': '非常舒服的酒店.现在在澳门应该是最舒服的了', '短评打分': 5}
{'短评内容': '无语，希望京东改善服务质量，管理好合作伙伴。继续下去就没人在京东上购买了。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友说：环境非常好，购物交通便利，餐饮娱乐方便，酒店设施配套齐全，早餐品种很多，味道也很好，旅游出差很好的选择，推荐我下次也住这儿', '短评打分': 5}
{'短评内容': '是个值得推荐的好居住，环境、服务、卫生得一流', '短评打分': 5}
{'短评内容': '每次来都会选择这里，给满分', '短评打分': 5}
{'短评内容': '还行吧 ，不是很喜欢', '短评打分': 4}
{'短评内容': '环境不错哟', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '不错非常不错', '短评打分': 5}
{'短评内容': '每次去，都会选择的酒店。很舒服。', '短评打分': 5}
{'短评内容': '环境很好，设施一流，早点也很丰富，全五星！', '短评打分': 5}
{'短评内容': '环境还不错，酒店全覆盖Wif，自助早餐还行吧。', '短评打分': 5}
{'短评内容': '机场出来直奔永利的班车，第二天坐星际的班车转住JW万豪，这提示各位看官，凯旋门的location太好了，还有当天晚上去陶陶居海鲜的干活，下雨打车花了30，饭毕雨歇肚胀，故步行回酒店，感觉也就一刻钟。酒店内算是欧式装修风格，不豪华也不时尚，是一种特舒服的感觉，当然，最后一个佳处，性价比呀，你懂的。', '短评打分': 5}
{'短评内容': '酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
