{'短评内容': '很好很好，满意', '短评打分': 5}
{'短评内容': '位置还行有停车场，晚上吵', '短评打分': 5}
{'短评内容': '还不错，出差好选择', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '下次还住十分满意', '短评打分': 5}
{'短评内容': '住的非常舒服性价比高服务热情地点方便五星好评', '短评打分': 5}
{'短评内容': '感觉和家里住的差不多，真正的如家！第一次到前台的那位接待给人的感觉很亲和，32个赞。另外提个建议，房间里空气清洁剂的味道太浓了……小瑕疵', '短评打分': 5}
{'短评内容': '很好?不错。', '短评打分': 5}
{'短评内容': '不错挺好的。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '都是不错的，各个方面。。。下次还来。', '短评打分': 5}
{'短评内容': '隔壁KTV通宵唱歌，前台有提醒会吵，所以也没什么不好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，安静，方便。', '短评打分': 4}
{'短评内容': '性价比一般，地理位置优越。但是房间有霉味，太潮湿了。冲快捷酒店的品牌去的，略有些失望。真心一般，周边配套还过得去。', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '对于经济型酒店来说可以，但有些细节还得提高！', '短评打分': 5}
{'短评内容': '感觉还是不错的，闺蜜过来玩给她们开的，聊天聊到很晚，感觉很好。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住好多次了', '短评打分': 5}
{'短评内容': '很满意，下次还会去的', '短评打分': 5}
{'短评内容': '还是连锁酒店一贯的标准，不失不过。停车场卫生实在不敢恭维，臭气熏天，老鼠旁若无人在游荡，下雨天还能带上一脚泥沙回房间。', '短评打分': 5}
{'短评内容': '还可以吧，就是靠窗户有点吵。别的还可以，服务态度不错。。。。。', '短评打分': 5}
{'短评内容': '很好啊…环境很好', '短评打分': 3}
{'短评内容': '一个不错的酒店，性价比高，酒店地理位置也好方便，酒店布置很温馨，服务态度很好，房间干净整洁，值得推荐，下次还会来住的。', '短评打分': 5}
{'短评内容': '房间小，价格高，不推荐，不知道漳州哪里有性价比高的酒店，盼推荐', '短评打分': 1}
{'短评内容': '延安北路上的这家如家酒店，位置还是可以，就在市中心最繁华的地段，所在的街道晚上是夜市一条街，相当热闹。旁边吃饭的地方也很多，大型的超市也有。酒店房间的环境也是一如既往的如家黄色格调，房间很干净，很整洁，这次入住比较满意!', '短评打分': 5}
{'短评内容': '地理位置 很不错，整体上还比较干净。该店靠近闹市区，喜欢安静的驴友们，最好选楼上靠近背面一点的房间，这样感觉就不吵了。', '短评打分': 5}
{'短评内容': '房间很满意，很干净，没有味道。老婆住的很开心!', '短评打分': 3}
{'短评内容': '环境不错，处在漳州的延安北夜市中，但是这条路夜生活比较发达，KTV，会所，吧等传来的小声的音乐可能要到半夜2,3点才停，接受不了的就不要入住了。', '短评打分': 5}
{'短评内容': '如家还是不错的，很干净卫生，只是相对其他城市这个价钱也不错哦', '短评打分': 5}
{'短评内容': '环境很不错。干净整洁。一贯的如家风格。服务员服务态度很好。在延安北夜市上，晚上非常热闹。虽然周围有KTV和在夜市中。但隔音做得不错。不吵。推荐！', '短评打分': 5}
{'短评内容': '地点还不错，门口就是延安北路的夜市，就是隔壁的KTV声音太吵了，我这次刚好住的是靠路上的这边，但总体来说还不错，我是6月份定的，7月份入住，虽然涨价了，但他们还是按我订单的价格，这店算不错。', '短评打分': 5}
{'短评内容': '就是该死的周末调价，，很没道理，，，。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
